segment,Tc,TreeID,sp,lichen,apex_dist,treatment,sampleID,lenticel_size,LD,gbark,bark_thickness_ratio,Round,Season
019E,54.46021488,19,PE,0,55,55C,019E,NA,NA,5.499704144,0.096938776,1,2024spring
020A,5.472200074,20,PE,0,71.5,10C,020A,NA,NA,6.712160965,0.096153846,1,2024spring
020B,23.8736825,20,PE,0.3,52.8,25C,020B,NA,NA,4.619646454,0.095744681,1,2024spring
020C,31.72615,20,PE,0.25,63.5,35C,020C,NA,NA,4.380067807,0.085301837,1,2024spring
020D,39.58535671,20,PE,0,50,45C,020D,NA,NA,3.500186753,0.092145015,1,2024spring
020E,54.59177056,20,PE,0.4,56,55C,020E,NA,NA,5.129350723,0.120141343,1,2024spring
021A,5.861026857,21,LS,0,38,10C,021A,1.044444444,0.036770339,3.744514501,0.063862928,1,2024spring
021B,23.88364,21,LS,0,82,25C,021B,1.98,0.052497196,3.71750767,0.084699454,1,2024spring
021C,31.83837407,21,LS,0,32,35C,021C,0.75,0.086975429,3.397804795,0.108058608,1,2024spring
021D,39.0417687,21,LS,0,56,45C,021D,1.0125,0.035273369,3.447658727,0.077546296,1,2024spring
021E,54.4476052,21,LS,0,45.5,55C,021E,0.7,0.015659408,3.505110239,0.095522388,1,2024spring
022A,6.02279206,22,LS,0,69,10C,022A,0.78,0.12957564,4.885087735,0.069970845,1,2024spring
022B,23.89764,22,LS,0,137,25C,022B,0.93,0.067872954,3.173754709,0.079365079,1,2024spring
022C,31.89537083,22,LS,0,69,35C,022C,0.57,0.07846522,0.709735367,0.086350975,1,2024spring
022D,38.76297872,22,LS,0,64,45C,022D,0.821,0.116040243,4.92570445,0.083773319,1,2024spring
022E,54.26009313,22,LS,0,93,55C,022E,0.95,0.054587184,4.999170791,0.072886297,1,2024spring
024A,6.197068931,24,LS,0.15,67,10C,024A,0.85,0.073429952,7.066893247,0.09057971,2,2024spring
024B,24.36682436,24,LS,0.4,63.5,25C,024B,0.74,0.043808657,4.069109457,0.073800738,2,2024spring
024C,32.34737304,24,LS,0.1,57.5,35C,024C,0.675,0.080961417,5.382104811,0.133333333,2,2024spring
024D,41.05998483,24,LS,0.6,64.5,45C,024D,1.171428571,0.02734108,5.258598873,0.102040816,2,2024spring
024E,55.22549026,24,LS,0.8,58,55C,024E,0.85,0.045235564,2.728774391,0.12145749,2,2024spring
026A,6.200243198,26,LS,0.1,62,10C,026A,1.04,0.044705801,14.16717219,0.096100279,2,2024spring
026B,24.376256,26,LS,0.03,35,25C,026B,0.93,0.103896104,1.169872992,0.125454545,2,2024spring
026C,32.34328591,26,LS,0.3,55,35C,026C,0.87,0.026569423,1.290440837,0.080996885,2,2024spring
026D,41.00532614,26,LS,0.9,66,45C,026D,0.76,0.010833004,8.131637257,0.100286533,2,2024spring
026E,55.22630791,26,LS,0.2,56,55C,026E,0.82,0.04899079,2.945228225,0.086419753,2,2024spring
004A,10.29781028,4,LS,0.05,96,10C,004A,0.9125,0.014482642,5.38327255,0.080935702,5,2023summer
004B,25.2672381,4,LS,0.05,84,25C,004B,1.064285714,0.015672459,6.766972844,0.084128361,5,2023summer
004C,33.90519386,4,LS,0.3,41,35C,004C,0.974,0.019528416,3.894409373,0.109182349,5,2023summer
004D,39.7085284,4,LS,0.15,79,45C,004D,1.165,0.021698938,3.039643651,0.08692422,5,2023summer
004E,55.39516429,4,LS,0,73,55C,004E,1.0625,0.007310716,3.661869452,0.076622248,5,2023summer
016A,11.05963482,16,PE,0,56.5,10C,016A,NA,NA,6.973354989,0.126687847,1,2023summer
016B,23.93834624,16,PE,0,36,25C,016B,NA,NA,6.860489084,0.192213366,1,2023summer
016C,32.20180256,16,PE,0,53,35C,016C,NA,NA,3.431454637,0.110027855,1,2023summer
016D,40.11545284,16,PE,0,43.5,45C,016D,NA,NA,5.513308795,0.13022306,1,2023summer
016E,55.11904737,16,PE,0.1,61,55C,016E,NA,NA,3.248290259,0.097506234,1,2023summer
017A,11.19878711,17,PE,0,93,10C,017A,NA,NA,4.214923116,0.084275066,2,2023summer
017B,23.72337769,17,PE,0,64,25C,017B,NA,NA,3.620522424,0.093645017,2,2023summer
017C,33.60613968,17,PE,0,72,35C,017C,NA,NA,3.280646027,0.113460183,2,2023summer
017D,41.07388084,17,PE,0,49,45C,017D,NA,NA,2.759830488,0.103419093,2,2023summer
017E,47.58815432,17,PE,0,62,55C,017E,NA,NA,4.56835624,0.073398216,2,2023summer
018A,10.83019252,18,PE,0,70,10C,018A,NA,NA,4.033134865,0.100641417,3,2023summer
018B,24.53123516,18,PE,0,66,25C,018B,NA,NA,4.951709711,0.088081306,3,2023summer
018C,32.90194637,18,PE,0,44,35C,018C,NA,NA,2.534866468,0.113449088,3,2023summer
018D,40.7529625,18,PE,0,54,45C,018D,NA,NA,4.558517199,0.107105263,3,2023summer
018E,55.12338231,18,PE,0,59,55C,018E,NA,NA,3.763923476,0.087374335,3,2023summer
019A,10.62280091,19,PE,0,72,10C,019A,NA,NA,3.997558092,0.111381454,4,2023summer
019B,23.30020222,19,PE,0,58,25C,019B,NA,NA,3.404148804,0.129053828,4,2023summer
019C,32.8588033,19,PE,0,64,35C,019C,NA,NA,2.484583841,0.106356199,4,2023summer
019D,42.13856292,19,PE,0,60,45C,019D,NA,NA,5.15755943,0.0955928,4,2023summer
019E,55.22897154,19,PE,0,60,55C,019E,NA,NA,4.102912069,0.094228504,4,2023summer
020A,10.17942412,20,PE,0,69,10C,020A,NA,NA,4.774861847,0.093361801,5,2023summer
020B,25.090456,20,PE,0.15,72,25C,020B,NA,NA,7.647799703,0.097618188,5,2023summer
020C,33.33573874,20,PE,0,80,35C,020C,NA,NA,3.682628214,0.112837838,5,2023summer
020D,40.079437,20,PE,0,74,45C,020D,NA,NA,7.305570119,0.105147059,5,2023summer
020E,55.39943,20,PE,0,78,55C,020E,NA,NA,5.926410228,0.088570379,5,2023summer
021A,11.27872628,21,LS,0,55,10C,021A,1.237,0.067628099,6.139993501,0.093541848,2,2023summer
021B,23.74197917,21,LS,0,61,25C,021B,1.342,0.037000391,9.991882696,0.074703121,2,2023summer
021C,33.79845667,21,LS,0,43,35C,021C,1.292,0.070477301,7.404129769,0.080635754,2,2023summer
021D,41.04978415,21,LS,0,46,45C,021D,1.366,0.147591936,5.76686418,0.096211366,2,2023summer
021E,41.04978415,21,LS,0,62,55C,021E,1.442,0.053414187,6.164243268,0.068187884,2,2023summer
022A,54.67952567,22,LS,0,51,10C,022A,1.146,0.087483405,8.598642246,0.078716318,3,2023summer
022B,10.85762428,22,LS,0,76,25C,022B,1.122,0.097627478,9.615403147,0.072613459,3,2023summer
022C,24.5395697,22,LS,0,46,35C,022C,0.696,0.21222329,4.902956464,0.066237542,3,2023summer
022D,32.75991131,22,LS,0,47,45C,022D,0.786,0.077546555,3.316129616,0.102969166,3,2023summer
022E,40.80015464,22,LS,0,57,55C,022E,0.768,0.102559743,5.929464604,0.093952484,3,2023summer
024A,55.11831039,24,LS,0.55,47,10C,024A,1.362,0.087295075,7.265968735,0.009146341,1,2023summer
024B,10.98738793,24,LS,0.75,75,25C,024B,0.833,0.080451656,6.75384042,0.07306968,1,2023summer
024C,23.93427813,24,LS,0.7,55,35C,024C,1.032,0.066425818,3.822030407,0.097975946,1,2023summer
024D,32.20098097,24,LS,0.5,72,45C,024D,0.665,0.077542759,4.121555424,0.083773319,1,2023summer
024E,40.12709944,24,LS,0.3,55,55C,024E,1.057,0.108018896,6.268486853,0.077769626,1,2023summer
025A,55.11904737,25,LS,0,68,10C,025A,1.088,0.100480921,5.043894222,0.090137068,4,2023summer
025B,10.51400492,25,LS,0,53,25C,025B,1.281,0.080876341,6.652886889,0.091570649,4,2023summer
025C,23.26503125,25,LS,0.3,60,35C,025C,1.092,0.115617037,3.329682994,0.08225758,4,2023summer
025D,32.72834848,25,LS,0.4,81,45C,025D,1.191,0.065256662,2.297704187,0.116648107,4,2023summer
025E,42.07683158,25,LS,0,58,55C,025E,1.142,0.076543168,3.448124347,0.097629239,4,2023summer
