"","segment","int","slope","R2","D","D_sd","Tc","Tc_sd","mols_per_sec","TreeID","sp","lichen","apex_dist","fresh_mass","dry_mass","length_counted_lenticel","n_lenticels","lenticel_diam1","lenticel_diam2","lenticel_diam3","lenticel_diam4","lenticel_diam5","lenticel_diam6","lenticel_diam7","lenticel_diam8","lenticel_diam9","lenticel_diam10","exposed_length","total_length","basal_diam1","basal_diam2","basal_xylem_diam1","basal_xylem_diam2","basal_pith_diam1","basal_pith_diam2","distal_diam1","distal_diam2","distal_xylem_diam1","distal_xylem_diam2","distal_pith_diam1","distal_pith_diam2","treatment","sampleID","diam","wood_diam","sa","bark_thickness","vol","water_content","density","lenticel_size","LD","E","gs","bark_thickness_ratio"
"11","003A","4.0364463736175",-0.00224610129985513,"0.99633",0.0826602511673557,"0.0185620541472937","10.9079157682927","0.951388683865792",3.46326578181153e-08,3,"CC",0.85,150,3.8688,2.3785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.19,66.63,8.45,9.34,7.15,8.34,1.05,0.75,8.03,9.44,7.71,6.75,0.79,0.73,"10C","003A",8.815,7.4875,0.00138991865852557,0.66375,1294.3581279375,0.00115138149777351,0.00183759034587285,NA,NA,0.0249170392854887,0.3014391915534,0.0752977878615995
"12","003B","5.28831168179905",-0.00943571249473798,"0.99845",0.11059020885447,"0.00844647804521465","23.3462037974684","0.296635624035504",1.45489342854417e-07,3,"CC",0,145,5.1054,3.0339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.2,69.08,10.4,11.18,9.66,9.45,1.42,1.29,9.75,8.66,8.88,7.74,0.97,0.77,"25C","003B",9.9975,8.9325,0.0017965417501039,0.532499999999999,1726.1366079375,0.00120007882949378,0.00175762450436939,NA,NA,0.0809830012834399,0.732280028424655,0.0532633158289571
"13","003C","7.51957818208358",-0.0126549415793305,"0.99922",0.323466164282852,"0.0262516945693312","33.0523382716049","0.998766857691011",1.95126667463066e-07,3,"CC",0.25,125,7.3053,4.4703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.46,93.71,11.38,10.81,9.27,10.11,1.89,2.28,9.87,10.47,8.35,8.47,1.49,1.94,"35C","003C",10.6325,9.05,0.00252058916428609,0.791250000000001,2648.48019279688,0.00107042522262783,0.00168787367644205,NA,NA,0.0774131184200074,0.239323697400122,0.0744180578415237
"14","003D","2.6911492495278",-0.0202219665633841,"0.99434",0.647242367818258,"0.0920404067171088","42.25331","2.03303986846715",3.11802699390371e-07,3,"CC",0,115,2.4959,1.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.15,58.69,7.56,8.26,5.9,6.89,1.69,1.95,7,7.33,6.25,5.95,0.87,1.01,"45C","003D",7.5375,6.2475,0.00104546116675702,0.645,833.602039453125,0.00133097083199062,0.00166314372372401,NA,NA,0.298244171380914,0.460792102325198,0.0855721393034826
"15","003E","3.32329533253868",-0.0336007808699037,"0.99865",1.37940729406699,"0.0100637937700625","55.2075241333333","0.111420796812868",5.18090767484042e-07,3,"CC",0.8,131,3.1561,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.9,62.42,7.65,8.17,7.22,6.61,0.7,0.85,8.2,7.7,7.2,7.01,0.68,0.58,"55C","003E",7.93,7.01,0.00129297586365999,0.46,981.3188645,0.0013105831820071,0.00190559874842801,NA,NA,0.400696395072293,0.290484468797389,0.0580075662042875
"16","004A","4.49220969190676",-0.00379494404317775,"0.99339",0.0833654345227451,"0.0169100338339255","10.2978102758621","0.541214853351981",5.85142791621851e-08,4,"LS",0.05,96,4.294,2.0829,55.28,8,1.28,1.27,1.26,1.03,0.68,0.66,0.71,0.41,NA,NA,41.13,55.28,10.47,9.46,7.99,8.87,2.15,1.97,10.59,9.45,7.7,8.94,1.85,2.57,"10C","004A",9.9925,8.375,0.00129116795562767,0.80875,1379.927777375,0.00160233023514181,0.00150942682229518,0.9125,0.0144826420104514,0.0453188749822559,0.543617090724709,0.0809357017763322
"17","004B","3.06782388002153",-0.0058813412977157,"0.99751",0.137177077388447,"0.0100882271607854","25.2672380952381","0.691584262767142",9.06844587501354e-08,4,"LS",0.05,84,2.866,1.5219,51.65,7,1.27,1.44,1.07,0.91,0.96,0.67,1.13,NA,NA,NA,35.01,51.65,9.21,8.24,6.84,7.59,1.67,1.14,8.48,8.66,6.97,7.37,1.25,1.27,"25C","004B",8.6475,7.1925,0.00095111395574184,0.7275,965.587146328125,0.00139200278826335,0.0015761394564824,1.06428571428571,0.0156724590396085,0.0953455242693861,0.695054349345804,0.0841283607979185
"18","004C","3.47886647373786",-0.0105896347111144,"0.99882",0.346774702521511,"0.0259123450791743","33.9051938554217","0.970364823505649",1.6328168074722e-07,4,"LS",0.3,41,3.2507,1.5206,66.46,10,1.61,0.99,0.67,0.98,1.48,1.09,0.52,0.85,1.2,0.35,48.13,66.46,7.88,8.45,6.21,6.25,2.24,2.91,7.53,6.96,5.76,5.87,1.42,2.15,"35C","004C",7.705,6.0225,0.00116503340328512,0.84125,986.383120375,0.00175398378607924,0.00154159166817646,0.974,0.0195284160911805,0.140151930654352,0.404158462642351,0.109182349123945
"19","004D","3.38667379006968",-0.0134313536192484,"0.9997",0.535590194639231,"0.0298319376663571","39.7085283950617","0.723654603188663",2.07098172268337e-07,4,"LS",0.15,79,3.1687,1.6497,60.26,11,1.16,1.46,0.92,1.06,1.34,1.2,1.06,1.63,0.87,0.95,45.9,60.26,8.53,8.45,6.79,7.07,1.98,1.78,8.39,8.28,6.83,7.11,1.1,1.41,"45C","004D",8.4125,6.95,0.00121307495230308,0.73125,1066.15240390625,0.00142474940208789,0.0015473397555131,1.165,0.0216989380835597,0.170721662231301,0.318754271344152,0.086924219910847
"20","004E","4.47447089204739",-0.0467423876123981,"0.99584",1.3884882090232,"0.00945527733263338","55.3951642857143","0.112649720295331",7.20721329837753e-07,4,"LS",0,73,4.2141,2.0648,63.4,4,1.21,0.89,0.85,1.3,NA,NA,NA,NA,NA,NA,47.56,63.4,9.09,8.79,7.62,7.77,1.31,1.45,8.15,8.49,6.7,7.14,1.68,1.38,"55C","004E",8.63,7.3075,0.00128944408519882,0.66125,1180.458865,0.00182073265212846,0.00174915031876185,1.0625,0.00731071641365495,0.558939575675064,0.402552626693372,0.0766222479721901
"21","005A","4.89061370699765",-0.00652103199761922,"0.99797",0.0827003742347496,"0.0190284337434331","11.0306896923077","0.799445329728613",1.00547855882143e-07,5,"MG",0.05,92,4.6885,2.612,34.79,20,0.77,1.12,0.94,0.97,0.92,0.76,0.76,0.94,0.95,1.32,59.27,71.74,9.31,9.54,7.46,7.85,2.86,3.62,9.9,9.39,7.69,8.03,3.29,2.84,"10C","005A",9.535,7.7575,0.00177543794437378,0.88875,1630.582495375,0.00127347129377986,0.00160188154074308,0.945,0.0602913307246279,0.0566327064264741,0.684793834979743,0.093209229155742
"22","005B","2.96859965384906",-0.00628866824437755,"0.99746",0.110735609590089,"0.00858045189787638","23.3585302631579","0.295709217089914",9.69650369078291e-08,5,"MG",0,82,2.7421,1.4778,30.86,10,0.81,0.99,0.76,1.01,0.96,0.89,1.11,0.79,1.08,0.69,56.14,69.95,7.83,7.65,6.66,6.48,1.22,2.59,7.82,7.39,6.05,6.15,2.85,3.54,"25C","005B",7.6725,6.335,0.00135319124129024,0.66875,1029.44114367188,0.00122814209221366,0.0014355361732764,0.909,0.0422344828926059,0.0716565655682005,0.647095959768066,0.0871619420006516
"23","005C","3.43905551735057",-0.0142284718020219,"0.98977",0.326281962452671,"0.0252267589809194","33.1911733333333","0.902589025908298",2.19388945291964e-07,5,"MG",0,57,3.2831,1.809,36.15,11,0.79,0.9,0.83,0.72,0.64,0.86,0.45,0.9,0.62,1.11,68.7,84.88,7.5,7.44,6.17,5.34,2.6,2.71,7.47,7.44,6.01,6.03,3.09,2.48,"35C","005C",7.4625,5.8875,0.00161061208668833,0.7875,1181.718590625,0.00124742050408157,0.00153082130919446,0.782,0.0407755698733409,0.136214639828677,0.417475237689351,0.105527638190955
"24","005D","6.19138131499905",-0.0416241036689688,"0.9953",0.651564620549035,"0.095292357930951","42.3505733333333","2.10368159986115",6.4180245986507e-07,5,"MG",0,56,6.0984,3.1461,40.56,23,1,1.25,0.78,1.26,0.89,0.74,0.98,0.95,0.8,1.34,82.46,93.87,9.52,10.12,7.66,7.58,3.98,3.99,9.56,9.19,7.99,7.42,4.14,3.92,"45C","005D",9.5975,7.6625,0.0024862873707386,0.9675,2161.63850667188,0.00136576952662888,0.00145542374004238,0.999,0.0590842556899423,0.258136878069091,0.3961800102829,0.100807501953634
"25","005E","5.13381763846578",-0.0690306015571139,"0.99578",1.37875461730192,"0.00962454638489095","55.1997604109589","0.110273016398674",1.06438351772486e-06,5,"MG",0.01,56,4.9562,2.6314,34.32,15,0.92,0.63,0.75,0.53,1.04,0.78,0.77,0.86,0.9,0.75,57.24,72.18,10.03,9.34,8.5,8.54,3.48,4.15,9.78,9.75,7.81,7.86,4.26,3.43,"55C","005E",9.725,8.1775,0.00174879582495464,0.77375,1706.617153125,0.00136222702071349,0.00154188067029657,0.793,0.0449422043252377,0.60863795677947,0.441440376076862,0.0795629820051414
"26","006A","2.99883041047026",-0.00514413765574154,"0.99059",0.0871893482702139,"0.0198882069799808","10.8490938556701","0.504535794806556",7.93175086146245e-08,6,"MG",0,52,2.8853,1.5558,28.24,15,0.76,1.32,1.01,1.3,1.23,1.37,1.26,0.82,0.9,0.94,61.47,79.11,7.44,7.39,6.46,6.11,3.78,2.62,7.24,6.87,5.94,5.91,2.7,3.29,"10C","006A",7.235,6.105,0.00139717762251095,0.565,1035.2576874375,0.00128422132589116,0.00150281424507068,1.091,0.0734155456928568,0.0567698103209514,0.651109469760143,0.078092605390463
"27","006B","2.76417478529912",-0.00368972007591559,"0.99796",0.122239159380048,"0.00586570116785287","24.53488","0.232653591272335",5.6891829786153e-08,6,"MG",0,54,2.6445,1.4346,30.76,19,0.74,0.79,0.72,0.61,0.88,0.94,1.08,1.05,0.8,0.85,56.11,72.61,7.75,7.05,5.77,6.1,2.28,3.14,7.56,6.93,5.85,6.04,2.53,3.26,"25C","006B",7.3225,5.94,0.00129077195787368,0.69125,973.319010953125,0.00124306623664445,0.00147392579807433,0.846,0.084354428896098,0.0440758179158712,0.360570361735205,0.0944008193922841
"28","006C","3.63859265976727",-0.0113355871644304,"0.99848",0.309040279781596,"0.02199571888132","32.809541443299","0.887026704558537",1.74783528890019e-07,6,"MG",0,40,3.4425,1.8523,41.29,26,1.03,0.97,1.38,0.9,1.2,1.25,1.8,1.18,0.93,1.27,57.25,71.93,8.04,8.38,6.9,6.78,2.2,3.73,8.47,8.1,6.85,7.3,2.81,3.46,"35C","006C",8.2475,6.9575,0.00148336383975008,0.645,1223.19224051563,0.001300040948044,0.00151431634263734,1.191,0.0763494900845137,0.117829169220861,0.381274471095266,0.0782055168232798
"29","006D","4.52784722458786",-0.0236576961655029,"0.999",0.574347479151181,"0.0113538725332804","40.7809612903226","0.273026096165636",3.6477824758734e-07,6,"MG",0,37,4.3183,2.3516,28.44,20,1.12,1.24,1.04,1.13,1.22,1.62,1.14,0.76,1.19,0.94,57.55,71.18,9.54,9.11,7.91,7.96,3.39,2.57,9.15,8.92,7.7,7.38,3.57,3.68,"45C","006D",9.18,7.7375,0.00165973167322537,0.72125,1499.627358,0.0013114591365037,0.00156812289896888,1.14,0.0766051068028399,0.21978145833565,0.382662876244292,0.0785675381263616
"30","006E","3.31574342699945",-0.0376890841905523,"0.99639",1.36775444736748,"0.0108454638942626","55.1326561956522","0.13888401710149",5.8112835620269e-07,6,"MG",0,51,3.1762,1.7417,42.26,29,1.17,1.21,0.9,1.02,1.23,1.52,1.08,0.82,1.16,1.14,66.66,81.69,7.49,7.36,6.37,6.08,3.16,3.49,6.96,7.17,5.77,5.75,2.65,2.65,"55C","006E",7.245,5.9925,0.0015172375127587,0.626250000000001,1071.9775355625,0.00133818102750378,0.00162475419700477,1.125,0.094717475733546,0.383017392673121,0.280033739543173,0.0864389233954452
"31","007A","2.03153331653059",-0.0074508090897327,"0.99571",0.0811278295284967,"0.0171104636118388","10.8564467850467","0.882710637979401",1.14884097920899e-07,7,"TD",0.2,67.8,1.9653,0.9614,55.82,13,1.6,1.89,1.49,1.34,1.23,1.24,1.2,1.73,1.28,1.4,40.53,55.82,7.13,7.26,6.02,6.09,0.71,0.59,6.63,6.97,5.55,5.12,0.94,0.84,"10C","007A",6.9975,5.695,0.000890982929874335,0.65125,683.30666221875,0.00146917929460875,0.00140698174503123,1.44,0.0332820917129,0.128940851804088,1.58935414090916,0.0930689531975705
"32","007B","2.90765413080874",-0.00574201426585162,"0.99979",0.126241623049375,"0.00643433655032546","23.928466","0.25579287992081",8.85361738888633e-08,7,"TD",0.1,74,2.7968,1.2904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.95,63.32,7.58,7.9,6.33,6.3,0.66,0.59,7.13,7.68,5.75,5.93,0.87,0.71,"25C","007B",7.5725,6.0775,0.00114071661220835,0.7475,907.7358314375,0.0016595136468442,0.00142155895505029,NA,NA,0.0776145213818383,0.614809280069871,0.0987124463519313
"33","007C","5.3170029595797",-0.0119030992482008,"0.99502",0.305715872413029,"0.0047642442268977","32.2004140196078","0.146642736947741",1.83534003236894e-07,7,"TD",0,117,5.1752,2.5046,62.54,13,1.31,1.4,1.52,1.63,2.03,1.6,1.94,1.81,1.08,1.66,43.83,62.54,10.49,11.08,8.63,8.13,0.82,1.27,9.61,10.27,8.94,8.38,0.98,0.77,"35C","007C",10.3625,8.52,0.00142687486224589,0.92125,1678.90828671875,0.0015906765254101,0.00149180275052128,1.598,0.020059538252575,0.128626558707477,0.420738896192148,0.0889022919179734
"34","007D","1.69014121709818",-0.0165397617144826,"0.99683",0.567216248850257,"0.0544878032890525","40.2231460606061","1.3259097809235",2.55026746962742e-07,7,"TD",0.3,67,1.6851,0.7877,57.24,4,1.72,1.17,0.67,0.35,NA,NA,NA,NA,NA,NA,39.63,57.24,6.1,6.3,5.1,5.08,0.89,1.05,5.84,5.53,4.61,4.55,1.29,1.34,"45C","007D",5.9425,4.835,0.00073984907545103,0.55375,505.3334124375,0.00177585724179873,0.00155877284306314,0.9775,0.0117595628029741,0.344701041637812,0.60770657105913,0.0931846865797223
"35","007E","3.09071110549913",-0.0422926346628507,"0.9998",1.38471889280534,"0.0069975783721325","55.1190473684211","0.0939698298727618",6.52110545770817e-07,7,"TD",0.25,116,2.8814,1.3692,46.19,5,0.97,1.58,1.35,1.19,1.13,NA,NA,NA,NA,NA,30.68,46.19,9.65,9.7,7.94,7.59,1.31,0.59,8.68,8.85,7.22,7.27,1.35,1.08,"55C","007E",9.22,7.505,0.000888661057283883,0.8575,981.634499,0.0015404919056334,0.00139481650389714,1.244,0.0117406224126603,0.733812447868411,0.529936040940238,0.093004338394794
"36","008A","3.07704822317821",-0.00608337777236948,"0.99778",0.0839588563131022,"0.0209317710780772","11.2127491694915","0.585695028685298",9.37996611205334e-08,8,"MG",0,38,2.9115,1.4639,71.67,26,1.18,1.02,0.86,0.84,0.72,0.88,1.03,1.42,1.32,0.95,59.76,71.67,7.97,7.37,5.92,5.64,2.96,2.68,6.74,7.29,5.13,5.62,3.33,3.03,"10C","008A",7.3425,5.5775,0.00137849252896483,0.8825,965.973747234375,0.00149859145152189,0.00151546561611142,1.022,0.049407398634427,0.0680450993745841,0.810457673706607,0.120190670752468
"37","008B","4.23991644299855",-0.00683455097273492,"0.99988",0.110742503106237,"0.006792402192153","23.7302096491228","0.173437670306343",1.05382008012934e-07,8,"MG",0.2,42,4.0117,2.1196,30.76,16,1.13,1.2,0.99,1,2.09,1.41,1.27,1.37,1.12,1.27,43.67,61.77,9.4,9.46,7.52,7.22,2.62,2.73,9.24,8.7,7.41,6.61,1.62,1.61,"25C","008B",9.2,7.19,0.00126217883087685,1.005,1307.0532,0.00144760748835625,0.00162166314270911,1.285,0.056538700740657,0.083492137116358,0.753930376995928,0.109239130434783
"38","008C","5.08720239490466",-0.0166381200654134,"0.99753",0.333994631466394,"0.01661239661432","33.6623726956522","0.466331761309293",2.56543335333694e-07,8,"MG",0,42,4.9416,2.4917,31.74,16,1.03,1.29,1.39,1.1,1.32,1.45,1.3,1.26,1.49,1.09,56.23,72.41,10.34,9.65,7.49,7.68,2.93,3.11,9.8,9.85,8.28,7.92,2.94,3.05,"35C","008C",9.91,7.8425,0.00175061889117152,1.03375,1777.81213025,0.00137804212172604,0.00140155416739654,1.272,0.0508673842782904,0.146544365896803,0.438762638948428,0.104313824419778
"39","008D","4.33198278320031",-0.0421985631592296,"0.99127",0.589727398477122,"0.082435163933315","41.066091238938","1.76795089883596",6.50660056340284e-07,8,"MG",0.03,49,4.1584,2.0875,20.3,9,0.86,1.21,1.39,0.78,1.36,1.06,0.96,1.72,1.35,0.71,65.41,84.32,7.74,7.8,5.89,6.09,2.14,2.85,7.87,7.63,6.36,6.02,1.85,2.18,"45C","008D",7.76,6.09,0.00159461462565735,0.835,1269.387008,0.0016314173588895,0.00164449453700412,1.14,0.0571327002183739,0.408035926593901,0.691906002074161,0.107603092783505
"40","008E","5.1508898674216",-0.0430343153371422,"0.99286",1.07562616232743,"0.531097722520818","47.9796785344828","12.8967722466288",6.63546527311232e-07,8,"MG",0.03,65,4.9484,2.6717,37.5,24,1.39,0.98,1.32,1.39,1.45,1.16,1.48,1,1.16,1.16,54.64,73.15,9.7,9.55,8.02,7.68,1.84,1.39,9.36,9.36,7.95,8.24,0.79,0.77,"55C","008E",9.4925,7.9725,0.00162945048995595,0.76,1647.84193492188,0.00138162523464846,0.00162133269179526,1.249,0.0674216486700026,0.407221042554764,0.378589752478336,0.0800632077956281
"41","009A","3.28952246882365",-0.00364768482815646,"0.99593",0.0826528892632683,"0.0212520978370537","11.2400954311927","0.601388291701475",5.62436878915574e-08,9,"TD",0.2,86,3.1465,1.5351,30.69,10,0.99,0.73,1.35,1.24,1.02,0.89,1.3,1.19,1.17,1.29,43.7,60.56,8.82,8.63,7.11,7.03,1.84,2,7.63,7.69,6.44,6.48,1.67,1.75,"10C","009A",8.1925,6.765,0.00112472865449515,0.71375,1016.152231625,0.00158578601694659,0.00151069884238222,1.117,0.0397728453483619,0.0500064505930126,0.605017574566942,0.0871223680195301
"42","009B","2.70045743363365",-0.00575729042602287,"0.99956",0.111299962238586,"0.00672052912340975","23.7345660377358","0.179127221023969",8.87717171513242e-08,9,"TD",0.2,61,2.5838,1.27,72.9,10,1.5,1.89,1.63,2.29,0.7,0.6,1,0.77,0.84,1.09,46.61,72.9,7.94,7.19,6.6,6.02,1.02,0.52,6.99,6.28,6.78,5.06,0.53,0.64,"25C","009B",7.1,6.115,0.00103965039844512,0.492500000000001,918.72225,0.00143002958728821,0.0013823546779236,1.231,0.0193203114434205,0.0853861233392389,0.767171179772753,0.0693661971830987
"43","009C","1.38061927482792",-0.00852429656157095,"0.99847",0.336856240769254,"0.0154336298403143","33.7414111764706","0.435354854373217",1.31436211704283e-07,9,"TD",0.2,63,1.236,0.5515,39.02,3,1.5,1.53,1.62,NA,NA,NA,NA,NA,NA,NA,27.65,39.02,6.35,6.18,4.98,4.54,0.78,0.76,6.5,6.04,5.23,4.68,1.24,1.33,"35C","009C",6.2675,4.8575,0.000544426618593742,0.705,383.19158121875,0.00178631273114856,0.00143922786154628,1.55,0.0122670362043173,0.241421354532193,0.716689570544623,0.112485041882728
"44","009D","1.8343617115737",-0.0209068080936477,"0.99814",0.590808550078125,"0.0871228674464024","41.0577377227723","1.8691515004161",3.22362277615442e-07,9,"TD",0.05,60,1.7315,0.8686,31.14,6,1.45,1.24,1.73,1.13,1.83,1.05,1.78,1.38,0.79,1.17,63.26,72.6,5.57,5.34,4,4.72,0.83,0.57,5.35,5.65,4.84,4.28,0.94,0.64,"45C","009D",5.4775,4.46,0.00108858274606001,0.50875,544.5545634375,0.00158459786757262,0.0015950651382241,1.355,0.0351763080530001,0.296130247132974,0.501228777230484,0.0928799634869922
"45","009E","5.21262932527063",-0.0468652307988823,"0.99487",1.18516483819659,"0.444761661200933","50.6517260576923","10.7710735911459",7.2261545012657e-07,9,"TD",0.1,116,4.9406,2.4526,37.47,9,1.93,1.44,1.57,1.38,1.3,1.47,0.93,1.24,1.34,1.65,57.93,74.61,10.13,9.89,8.45,8.74,1.46,1.56,9.18,9.53,8.4,8.43,1.04,1.06,"55C","009E",9.6825,8.505,0.00176214201740544,0.588750000000001,1748.68691357813,0.0014227818488726,0.0014025380878396,1.425,0.0248068322977514,0.410077872832601,0.346009145408496,0.0608055770720373
"46","010A","2.28037935785382",-0.00342653939444999,"0.99546",0.0884758386385191,"0.0196394736109879","10.8800543238095","0.496709548774415",5.28338442954165e-08,10,"TD",0.15,67,2.1287,1.1744,35.8,13,1.59,0.93,2.19,1.04,1.23,1.4,1.34,0.91,0.77,1.07,56.12,72.45,6.86,6.62,5.94,5.4,0.61,0.69,6.51,6.57,5.15,5.42,1.12,1.16,"10C","010A",6.64,5.4775,0.00117067303333721,0.58125,798.57288,0.00119500677258161,0.00147062344516383,1.247,0.0546880258464024,0.0451311705240227,0.510095990255743,0.0875376506024096
