,segment,int,slope,R2,Tac,Tac_sd,RH,RH_sd,mols_per_sec,TreeID,sp,lichen,apex_dist,fresh_mass,dry_mass,length_counted_lenticel,n_lenticels,lenticel_diam1,lenticel_diam2,lenticel_diam3,lenticel_diam4,lenticel_diam5,lenticel_diam6,lenticel_diam7,lenticel_diam8,lenticel_diam9,lenticel_diam10,exposed_length,total_length,basal_diam1,basal_diam2,basal_xylem_diam1,basal_xylem_diam2,basal_pith_diam1,basal_pith_diam2,distal_diam1,distal_diam2,distal_xylem_diam1,distal_xylem_diam2,distal_pith_diam1,distal_pith_diam2,treatment,sampleID,diam,wood_diam,sa,bark_thickness,vol,water_content,density,lenticel_size,LD,bark_thickness_ratio,E,deltaT,Tsc,wi,w0,deltaw,gbark,gbark_org,deltags%
11,011A,3.20608469,-0.002194548,0.98909,10.24989453,0.554695318,31.78466,13.81168024,3.38E-08,11,TD,0,112,3.0076,1.3207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.91,46.47,9.06,9.54,8.4,8.09,0.95,0.56,9.15,9.65,8.56,8.25,0.77,0.64,10C,011A,9.35,8.325,0.000996069,0.5125,1015.630894,0.001660938,0.001300374,NA,NA,0.054812834,0.033971302,0.026190059,10.22370447,0.012308328,0.003919018,0.00838931,4.04935605,4.034483974,0.368623995
12,012A,2.39724218,-0.00409197,0.99714,10.74341919,1.103107717,34.94683852,14.25737992,6.31E-08,12,TD,0.15,70,2.2364,1.0873,48.32,6,0.83,1.05,0.99,1.41,1.38,1.36,NA,NA,NA,NA,34.41,48.32,8.3,7.9,6.51,6.22,1.19,1.21,7.89,7.5,6.22,6.61,0.75,1.02,10C,012A,7.8975,6.39,0.000853737,0.75375,753.4357155,0.001525147,0.001443122,1.17,0.015722974,0.095441595,0.073903455,0.052363423,10.69105577,0.012698401,0.004453198,0.008245203,8.963205878,8.904373192,0.660716759
13,013A,3.596830089,-0.001859694,0.99284,10.21058253,0.56656911,31.33325286,13.59942893,2.87E-08,13,MG,0,57,3.4062,1.7524,22.17,10,1.03,0.92,0.76,0.98,0.81,0.91,0.87,0.74,0.86,0.84,54.48,65.91,8.54,8.98,6.26,7.47,3.84,3.26,8.68,8.06,6.37,7.15,2.97,3.98,10C,013A,8.565,6.8125,0.001465934,0.87625,1208.77663,0.00136816,0.00144973,0.872,0.052663163,0.102305896,0.019560661,0.014433302,10.19614923,0.012285662,0.003853216,0.008432446,2.319690017,2.314204626,0.237031373
14,014A,5.585282986,-0.003828101,0.99542,11.22398774,0.592783244,36.39999447,16.35327508,5.90E-08,14,CC,0.15,117,5.4145,3.3308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.77,82.69,8.8,9.35,7.46,7.16,1.71,2.23,8.53,8.69,7.47,7.51,4.72,4.38,10C,014A,8.8425,7.4,0.00179928,0.72125,1616.37877,0.001289116,0.002060656,NA,NA,0.081566299,0.032805074,0.024595011,11.19939273,0.013135003,0.00478895,0.008346053,3.930609459,3.914536815,0.410588654
15,015A,4.771583166,-0.002577461,0.99789,10.80747645,0.506327036,32.84045685,15.98212681,3.97E-08,15,CC,0.2,105,4.6441,2.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.9,94.1,8.07,8.53,7.18,7.53,1.42,1.19,7.56,7.73,7.49,6.29,1.29,1.06,10C,015A,7.9725,7.1225,0.001775786,0.425,1495.266791,0.001147019,0.001958848,NA,NA,0.053308247,0.022379887,0.015932122,10.79154433,0.012783681,0.004202675,0.008581006,2.608072515,2.600761616,0.281106079
16,016A,5.560691142,-0.005893106,0.99428,11.05963482,0.711712929,37.69740305,14.16120817,9.09E-08,16,PE,0,56.5,5.4315,2.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.74,72.93,9.49,9.26,7.03,7.42,1.6,1.01,9.78,9.24,6.86,6.89,0.73,0.55,10C,016A,9.4425,7.05,0.00159417,1.19625,1625.6244,0.001776241,0.001564937,NA,NA,0.126687847,0.05699887,0.044159913,11.01547491,0.012975537,0.004905815,0.008069722,7.063300569,7.014585755,0.694478843
17,017A,6.441999116,-0.004064784,0.99093,11.19878711,0.574634854,35.38139976,16.06448731,6.27E-08,17,PE,0,93,6.2997,3.0469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.25,72.75,10.78,9.69,7.98,9.33,1.08,0.77,10.88,10.24,8.77,8.5,1.84,1.74,10C,017A,10.3975,8.645,0.001739396,0.87625,1966.214364,0.001654347,0.001549628,NA,NA,0.084275066,0.036032596,0.029293987,11.16949313,0.013108962,0.004647161,0.0084618,4.258265817,4.239569209,0.441002542
18,018A,5.341503111,-0.003922903,0.99156,10.83019252,0.50680053,32.33065333,15.8199169,6.05E-08,18,PE,0,70,5.0871,2.6189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.78,84.69,8.03,8.88,6.92,6.93,1.64,1.74,7.77,8.06,6.58,5.72,1.26,1.15,10C,018A,8.185,6.5375,0.001717177,0.82375,1418.435229,0.001740087,0.00184633,NA,NA,0.100641417,0.035224843,0.025408374,10.80478414,0.012794955,0.004143695,0.00865126,4.071643248,4.054962793,0.411359015
19,019A,5.586750039,-0.00414486,0.98988,10.62280091,1.187255104,34.4270257,14.04422925,6.39E-08,19,PE,0,72,5.4003,2.4265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.98,79.9,9.48,9.12,6.93,7.39,1.61,1.81,9.37,9.02,7.48,6.95,1.62,2.19,10C,019A,9.2475,7.1875,0.001916843,1.03,1708.187219,0.00174091,0.001420512,NA,NA,0.111381454,0.03334109,0.025562919,10.597238,0.012619235,0.004351838,0.008267396,4.03284055,4.019350477,0.335628184
20,020A,2.989520508,-0.003421621,0.99736,10.17942412,0.569927386,30.92125126,13.39415387,5.28E-08,20,PE,0,69,2.8011,1.2166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.05,78.42,6.53,6.43,5.18,5.38,0.87,1.12,6.54,6.26,4.87,5.52,1.34,1.06,10C,020A,6.44,5.2375,0.00129585,0.60125,813.089928,0.001948739,0.001496267,NA,NA,0.093361801,0.040713033,0.026049228,10.15337489,0.012250551,0.003794632,0.008455919,4.814737935,4.798424942,0.339965576
21,021A,4.885889765,-0.005789003,0.99144,11.27872628,0.618106748,38.53762495,16.52398511,8.93E-08,21,LS,0,55,4.6537,2.3176,41.11,24,1.3,1.29,1.59,1.13,1.65,1.55,0.94,0.89,0.6,1.43,65.51,80.97,9.12,8.77,7.33,7.25,3.24,2.09,8.2,8.44,6.66,6.83,2.26,2.07,10C,021A,8.6325,7.0175,0.001776618,0.8075,1508.472239,0.001548653,0.001536389,1.237,0.067628099,0.093541848,0.050241913,0.037217992,11.24150829,0.013171761,0.005088631,0.00808313,6.215651041,6.177501127,0.617562235
22,022A,2.230407718,-0.00399452,0.99532,10.85762428,0.502920227,31.64882586,15.57277635,6.16E-08,22,LS,0,51,2.0467,1.0357,19.38,14,1.18,0.96,1.3,1.14,1.19,1.1,0.82,1.12,1.28,1.37,31.23,43.55,8.24,8.12,6.97,6.92,2.29,2.09,8.35,8.32,7.03,6.91,2.33,1.92,10C,022A,8.2575,6.9575,0.000810159,0.65,742.3784093,0.001361839,0.001395111,1.146,0.087483405,0.078716318,0.076023983,0.055079931,10.80254435,0.012793047,0.00406372,0.008729327,8.709031769,8.644929393,0.741502597
23,023A,4.519470153,-0.003173258,0.99322,10.67001341,0.991352902,35.72475075,13.18934244,4.89E-08,23,MG,0,53,4.2895,2.2162,25.61,11,1.24,1.72,1.2,1.42,1.12,0.83,0.99,1.32,1.07,1.54,47.84,69.71,9.71,9.64,8.16,8.14,3.1,2.83,8.73,9.66,7.44,8.03,2.98,2.77,10C,023A,9.435,7.9425,0.001418022,0.74625,1551.382544,0.001336421,0.001428532,1.245,0.045524083,0.0790938,0.034504757,0.026721965,10.64329144,0.012658041,0.004530115,0.008127926,4.245210398,4.230920417,0.337751118
24,024A,2.920112262,-0.004210198,0.99232,10.98738793,0.781724148,37.29864838,14.00939462,6.49E-08,24,LS,0.55,47,2.7452,1.3274,27.94,16,0.97,1.21,1.05,1.36,1.5,1.72,1.37,1.6,1.48,1.36,52.98,86.88,6.8,6.92,5.51,5.27,1.31,2.07,6.36,6.16,9.87,5.11,1.48,1.02,10C,024A,6.56,6.44,0.001091857,0.06,934.689792,0.001516867,0.00142015,1.362,0.087295075,0.009146341,0.059455675,0.038394031,10.9489939,0.012918316,0.004830673,0.008087643,7.351422033,7.308430081,0.588251533
25,025A,3.130518317,-0.003471761,0.99325,10.51400492,1.248749128,33.96489173,13.82920795,5.35E-08,25,LS,0,68,2.9914,1.5427,24.91,21,1.05,1.57,1.05,1.22,0.9,0.96,1.02,0.88,1.13,1.1,48.31,59.01,8.51,8.41,6.81,6.78,0.84,2.61,8.65,7.99,6.61,7.31,1.57,1.97,10C,025A,8.39,6.8775,0.001273353,0.75625,1038.459455,0.001395047,0.001485566,1.088,0.100480921,0.090137068,0.042039492,0.03070131,10.48330361,0.012523678,0.004262378,0.0082613,5.088726062,5.07092927,0.350957212
26,001B,4.120241937,-0.00397075,0.99129,23.91111273,0.249964011,57.095972,1.608524925,6.12E-08,1,CC,0.85,77.5,3.9325,2.3894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.18,63.24,9.88,10.15,8.58,8.72,0.89,0.83,8.61,8.65,7.29,7.49,0.97,0.9,25C,001B,9.3225,8.02,0.001293922,0.65125,1374.031389,0.001123046,0.00173897,NA,NA,0.069857871,0.047317418,0.009097237,23.90201549,0.029302114,0.016739478,0.012562636,3.766519857,3.749070875,0.465421503
27,002B,3.699969413,-0.004020933,0.99966,25.35214805,0.658676204,56.78724403,1.599097337,6.20E-08,2,CC,0.1,127,3.177,2.2163,58.72,8,0.78,1.36,0.9,1.44,0.79,0.5,0.83,1.08,NA,NA,42.82,58.72,8.69,8.72,7.43,7.34,1.08,1.12,8.75,8.64,7.11,7.36,0.7,1.11,25C,002B,8.7,7.31,0.00117035,0.695,1111.1292,0.000864616,0.001994638,0.96,0.015659745,0.079885057,0.052974578,0.009838965,25.34230909,0.031936959,0.018146731,0.013790228,3.841457655,3.818533027,0.600351702
28,003B,5.288311682,-0.009435712,0.99845,23.3462038,0.296635624,60.94963304,2.446507092,1.45E-07,3,CC,0,145,5.1054,3.0339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.2,69.08,10.4,11.18,9.66,9.45,1.42,1.29,9.75,8.66,8.88,7.74,0.97,0.77,25C,003B,9.9975,8.9325,0.001796542,0.5325,1726.136608,0.001200079,0.001757625,NA,NA,0.053263316,0.080983001,0.016123594,23.3300802,0.028309701,0.017271463,0.011038238,7.336587582,7.291250553,0.621800453
29,004B,3.06782388,-0.005881341,0.99751,25.2672381,0.691584263,56.87243429,1.556952664,9.07E-08,4,LS,0.05,84,2.866,1.5219,51.65,7,1.27,1.44,1.07,0.91,0.96,0.67,1.13,NA,NA,NA,35.01,51.65,9.21,8.24,6.84,7.59,1.67,1.14,8.48,8.66,6.97,7.37,1.25,1.27,25C,004B,8.6475,7.1925,0.000951114,0.7275,965.5871463,0.001392003,0.001576139,1.064285714,0.015672459,0.084128361,0.095345524,0.017655007,25.24958309,0.031761312,0.018082414,0.013678898,6.970263624,6.920553845,0.718291919
30,005B,2.968599654,-0.006288668,0.99746,23.35853026,0.295709217,60.92804605,2.492132582,9.70E-08,5,MG,0,82,2.7421,1.4778,30.86,10,0.81,0.99,0.76,1.01,0.96,0.89,1.11,0.79,1.08,0.69,56.14,69.95,7.83,7.65,6.66,6.48,1.22,2.59,7.82,7.39,6.05,6.15,2.85,3.54,25C,005B,7.6725,6.335,0.001353191,0.66875,1029.441144,0.001228142,0.001435536,0.909,0.042234483,0.087161942,0.071656566,0.012498179,23.34603208,0.028336977,0.017278197,0.01105878,6.479608505,6.443080179,0.566938871
31,006B,2.764174785,-0.00368972,0.99796,24.53488,0.232653591,59.79514042,1.464866265,5.69E-08,6,MG,0,54,2.6445,1.4346,30.76,19,0.74,0.79,0.72,0.61,0.88,0.94,1.08,1.05,0.8,0.85,56.11,72.61,7.75,7.05,5.77,6.1,2.28,3.14,7.56,6.93,5.85,6.04,2.53,3.26,25C,006B,7.3225,5.94,0.001290772,0.69125,973.319011,0.001243066,0.001473926,0.846,0.084354429,0.094400819,0.044075818,0.007510215,24.52736979,0.030421848,0.018198961,0.012222886,3.606007309,3.590166568,0.441225796
32,007B,2.907654131,-0.005742014,0.99979,23.928466,0.25579288,56.9451682,1.610553126,8.85E-08,7,TD,0.1,74,2.7968,1.2904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.95,63.32,7.58,7.9,6.33,6.3,0.66,0.59,7.13,7.68,5.75,5.93,0.87,0.71,25C,007B,7.5725,6.0775,0.001140717,0.7475,907.7358314,0.001659514,0.001421559,NA,NA,0.098712446,0.077614521,0.013448843,23.91501716,0.029325023,0.016712687,0.012612336,6.153857873,6.121608158,0.526817695
33,008B,4.239916443,-0.006834551,0.99988,23.73020965,0.17343767,61.77603974,1.975548804,1.05E-07,8,MG,0.2,42,4.0117,2.1196,30.76,16,1.13,1.2,0.99,1,2.09,1.41,1.27,1.37,1.12,1.27,43.67,61.77,9.4,9.46,7.52,7.22,2.62,2.73,9.24,8.7,7.41,6.61,1.62,1.61,25C,008B,9.2,7.19,0.001262179,1.005,1307.0532,0.001447607,0.001621663,1.285,0.056538701,0.10923913,0.083492137,0.015946368,23.71426328,0.028973033,0.017915581,0.011057452,7.550757276,7.506826742,0.585207778
34,009B,2.700457434,-0.00575729,0.99956,23.73456604,0.179127221,61.59437396,1.929704228,8.88E-08,9,TD,0.2,61,2.5838,1.27,72.9,10,1.5,1.89,1.63,2.29,0.7,0.6,1,0.77,0.84,1.09,46.61,72.9,7.94,7.19,6.6,6.02,1.02,0.52,6.99,6.28,6.78,5.06,0.53,0.64,25C,009B,7.1,6.115,0.00103965,0.4925,918.72225,0.00143003,0.001382355,1.231,0.019320311,0.069366197,0.085386123,0.014326456,23.72023958,0.028983458,0.017867581,0.011115877,7.681456074,7.638664379,0.560198654
35,010B,1.850577404,-0.006915454,0.99984,24.53175686,0.225768499,59.77907088,1.414689053,1.07E-07,10,TD,0.1,44,1.746,0.7812,29.54,5,1.26,1.05,0.81,1.54,1.34,1.13,1.81,1.98,1.31,1.39,34.66,55.49,6.33,6.81,6.07,5.23,0.8,0.78,6.51,6.09,4.9,5.36,0.42,0.55,25C,010B,6.435,5.39,0.000700692,0.5225,574.4494738,0.001679521,0.001359911,1.362,0.026303344,0.081196581,0.152177419,0.024307863,24.507449,0.030385611,0.018190672,0.012194939,12.47873515,12.39328069,0.689522509
36,011B,4.213548981,-0.00590757,0.99931,25.21858333,0.721592901,56.90390089,1.563124558,9.11E-08,11,TD,0.02,107,4.0275,1.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.53,54.97,11.21,10.18,8.72,9.71,1.48,1.27,9.11,9.97,8.22,7.55,1.08,0.69,25C,011B,10.1175,8.55,0.001320034,0.78375,1406.734607,0.00145692,0.001406093,NA,NA,0.077464789,0.069004964,0.013820992,25.20476234,0.031676713,0.018040118,0.013636595,5.060278263,5.026166958,0.678674331
37,012B,4.93970032,-0.009417296,0.99886,23.32133256,0.306431725,60.82134907,2.425042744,1.45E-07,12,TD,0,75,4.7092,2.1133,72.02,8,0.84,2.08,1.05,0.88,0.99,1.2,1.34,0.97,NA,NA,48.28,72.02,9.39,9.92,7.94,8.41,0.82,0.82,8.94,8.54,7.16,7.64,1.21,1.23,25C,012B,9.1975,7.7875,0.001395041,0.705,1523.115083,0.001704336,0.001387485,1.16875,0.012077223,0.076651264,0.10408683,0.019877097,23.30145546,0.028260812,0.01720925,0.011051562,9.418291247,9.355295213,0.673373021
38,013B,4.026258182,-0.005442287,0.99138,25.14360104,0.757215595,56.98866542,1.549930744,8.39E-08,13,MG,0.05,24,3.8798,1.8077,19.88,15,1.26,0.95,0.77,0.98,0.76,0.59,0.62,0.98,1.06,1.07,51.75,66.45,8.61,9.06,6.91,7.25,0.92,1.02,8.59,8.31,6.67,6.9,0.99,0.75,25C,013B,8.6425,6.9325,0.001405075,0.855,1240.834244,0.001669925,0.001456842,0.904,0.087304271,0.098929708,0.059722547,0.011055549,25.13254549,0.031540816,0.017986527,0.013554289,4.406173458,4.37751171,0.654749773
39,014B,2.981593334,-0.003387566,0.99952,23.73254545,0.176145828,61.69061027,1.958455577,5.22E-08,14,CC,0.03,81,2.8258,1.7251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.81,65.77,8.14,8.27,7.25,7.04,2.33,2.76,7.05,7.46,6.45,6.44,2.05,2.55,25C,014B,7.73,6.795,0.001209612,0.4675,982.4870583,0.00112032,0.00175585,NA,NA,0.060478655,0.04318156,0.007559801,23.72498565,0.028991739,0.017893321,0.011098418,3.89078508,3.873245322,0.452843973
40,015B,4.124284182,-0.003144718,0.99871,24.5279186,0.244346631,59.8248157,1.553489304,4.85E-08,15,CC,0.5,86,3.8981,2.3239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.49,80.87,7.93,8.61,7.06,6.13,0.92,1.16,7.75,7.75,6.35,7.03,0.56,0.68,25C,015B,8.01,6.6425,0.00122021,0.68375,1297.156822,0.001213577,0.001791534,NA,NA,0.085362047,0.039737781,0.007081775,24.52083683,0.03040996,0.018200412,0.012209548,3.254647987,3.240347371,0.441329721
41,016B,3.995417564,-0.006516781,0.99955,23.93834624,0.262635572,56.86839613,1.644553827,1.00E-07,16,PE,0,36,3.8003,1.8183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.07,66.21,7.85,8.28,5.96,6.42,1.49,1.32,8.82,7.67,1.69,6.01,1.34,0.76,25C,016B,8.155,5.02,0.00112906,1.5675,1100.807874,0.001800496,0.001651787,NA,NA,0.192213366,0.088996458,0.016003206,23.92234303,0.029337938,0.016700069,0.012637869,7.042046134,7.002505498,0.564664119
42,017B,5.132392849,-0.004236245,0.99933,23.72337769,0.170660591,61.87972488,1.965443592,6.53E-08,17,PE,0,64,4.9996,2.4733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.8,74.38,9,8.76,7.07,7.2,1.78,1.29,8.63,9.33,7.63,7.13,1.69,1.51,25C,017B,8.93,7.2575,0.001593491,0.83625,1482.856416,0.001703671,0.00166793,NA,NA,0.093645017,0.040990937,0.007713223,23.71566446,0.028975477,0.017938272,0.011037205,3.713887572,3.697097707,0.454136361
43,018B,5.306780745,-0.007824815,0.99248,24.53123516,0.238504691,59.77886429,1.526435634,1.21E-07,18,PE,0,66,5.1429,2.5407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.13,91.52,8.62,8.39,7.11,6.95,1.42,1.44,7.68,7.78,6.29,6.4,1.03,1.33,25C,018B,8.1175,6.6875,0.001941458,0.715,1507.650287,0.001725997,0.001685205,NA,NA,0.088081306,0.062144477,0.011149002,24.52008616,0.030408594,0.018190041,0.012218553,5.086074944,5.060811386,0.499199754
44,019B,3.557630351,-0.003593048,0.99821,23.30020222,0.315281874,60.71237567,2.42485473,5.54E-08,19,PE,0,58,3.4063,1.5651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.94,72.82,7.18,7.7,5.87,5.51,1.16,0.97,7.49,7.54,5.23,5.58,0.52,0.68,25C,019B,7.4775,5.5475,0.001431557,0.965,1017.896279,0.001808829,0.001537583,NA,NA,0.129053828,0.038699979,0.006663635,23.29353859,0.028247304,0.017156512,0.011090792,3.489379151,3.473465737,0.458142248
45,020B,2.981502935,-0.00851016,0.99797,25.090456,0.78668146,57.0423928,1.541302746,1.31E-07,20,PE,0.15,72,2.8229,1.1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.76,67.38,7.4,6.7,5.46,5.85,1.19,1.23,6.67,6.94,5.51,5.48,0.9,0.85,25C,020B,6.9275,5.575,0.00123529,0.67625,808.3958665,0.002009659,0.001482318,NA,NA,0.097618188,0.10622467,0.017604997,25.072851,0.031428868,0.017946591,0.013482277,7.878837259,7.819536166,0.758370979
46,021B,3.570095863,-0.009281748,0.99934,23.74197917,0.186645009,61.362985,1.880366892,1.43E-07,21,LS,0,61,3.3606,1.617,26.87,9,1.41,1.62,1.19,1.18,1.65,1.42,1.13,1.45,1.14,1.23,43.84,56.69,9.35,9.02,7.8,7.88,3.13,2.48,8.78,9.06,7.48,7.64,2.6,2.14,25C,021B,9.0525,7.7,0.001246777,0.67625,1161.404575,0.001501286,0.00139228,1.342,0.037000391,0.074703121,0.114788213,0.021747225,23.72023194,0.028983445,0.017808402,0.011175043,10.27183678,10.20270447,0.677588087
