segment,Tc,TreeID,sp,lichen,apex_dist,treatment,sampleID,lenticel_size,LD,gbark,bark_thickness_ratio,Round,Season
021D,41.04978415,21,LS,0,46,45C,021D,1.366,0.147591936,6.056647936,0.096211366,2,2023summer
021E,41.04978415,21,LS,0,62,55C,021E,1.442,0.053414187,6.75183737,0.068187884,2,2023summer
022A,54.67952567,22,LS,0,51,10C,022A,1.146,0.087483405,8.672033743,0.078716318,3,2023summer
022B,10.85762428,22,LS,0,76,25C,022B,1.122,0.097627478,9.855060844,0.072613459,3,2023summer
022C,24.5395697,22,LS,0,46,35C,022C,0.696,0.21222329,5.07383802,0.066237542,3,2023summer
022D,32.75991131,22,LS,0,47,45C,022D,0.786,0.077546555,3.480671314,0.102969166,3,2023summer
022E,40.80015464,22,LS,0,57,55C,022E,0.768,0.102559743,6.502072686,0.093952484,3,2023summer
023A,55.12986677,23,MG,0,53,10C,023A,1.245,0.045524083,4.244220905,0.0790938,1,2023summer
023B,10.67001341,23,MG,0.02,46,25C,023B,1.227,0.070762076,8.664753928,0.08698922,1,2023summer
023C,23.89764188,23,MG,0,48.5,35C,023C,1.272,0.084287022,3.443437892,0.083432658,1,2023summer
023D,32.18482983,23,MG,0,49,45C,023D,1.406,0.065283526,2.915389616,0.081989581,1,2023summer
023E,40.31897309,23,MG,0,46,55C,023E,1.269,0.050252874,3.085663454,0.084702397,1,2023summer
024A,55.11831039,24,LS,0.55,47,10C,024A,1.362,0.087295075,7.331301698,0.009146341,1,2023summer
024B,10.98738793,24,LS,0.75,75,25C,024B,0.833,0.080451656,6.913057045,0.07306968,1,2023summer
024C,23.93427813,24,LS,0.7,55,35C,024C,1.032,0.066425818,3.949182639,0.097975946,1,2023summer
024D,32.20098097,24,LS,0.5,72,45C,024D,0.665,0.077542759,4.317179145,0.083773319,1,2023summer
024E,40.12709944,24,LS,0.3,55,55C,024E,1.057,0.108018896,6.86689466,0.077769626,1,2023summer
025A,55.11904737,25,LS,0,68,10C,025A,1.088,0.100480921,5.086902205,0.090137068,4,2023summer
025B,10.51400492,25,LS,0,53,25C,025B,1.281,0.080876341,6.806924606,0.091570649,4,2023summer
025C,23.26503125,25,LS,0.3,60,35C,025C,1.092,0.115617037,3.443598894,0.08225758,4,2023summer
025D,32.72834848,25,LS,0.4,81,45C,025D,1.191,0.065256662,2.417652681,0.116648107,4,2023summer
025E,42.07683158,25,LS,0,58,55C,025E,1.142,0.076543168,3.78089805,0.097629239,4,2023summer
