"","segment","int","slope","R2","D","D_sd","Tc","Tc_sd","mf","mf_sd","vpd","mols_per_sec","TreeID","sp","lichen","apex_dist","fresh_mass","dry_mass","length_counted_lenticel","n_lenticels","lenticel_diam1","lenticel_diam2","lenticel_diam3","lenticel_diam4","lenticel_diam5","lenticel_diam6","lenticel_diam7","lenticel_diam8","lenticel_diam9","lenticel_diam10","exposed_length","total_length","basal_diam1","basal_diam2","basal_xylem_diam1","basal_xylem_diam2","basal_pith_diam1","basal_pith_diam2","distal_diam1","distal_diam2","distal_xylem_diam1","distal_xylem_diam2","distal_pith_diam1","distal_pith_diam2","treatment","sampleID","diam","wood_diam","sa","bark_thickness","vol","water_content","density","lenticel_size","LD","E","gs","bark_thickness_ratio","RWC_end","LossFrac_end"
"11","017A","5.50852223443196",-0.00320922462374609,"0.98975",0.0066245217859907,"0.00134021068475178","6.20734661111111","1.3152360743496",0.993909390453086,"0.0011950624374903","0.671064056920858",4.94830657294205e-08,17,"PE",0.1,52.9,5.3075,2.4332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.4,71.2,9.1,9.3,8.1,7.8,1.3,1.7,8.8,8.6,7.2,6.9,1.1,1,"10C","017A",8.95,7.5,0.00164204764817831,0.725,1425.8245,0.00201588624686979,0.00170652138464446,NA,NA,0.0301349755497759,4.52129770987192,0.0810055865921787,0.996033816929339,0.00396618307066066
"12","017B","2.9685370790577",-0.00460970671541426,"0.99702",0.0140726352211366,"0.000626188806105949","24.3569135802469","0.116773474891653",0.976922688317281,"0.000345434600171674","1.42555794790114",7.10771127406886e-08,17,"PE",0,45,2.7145,1.2872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4,62.8,7.4,7.5,5.8,5.9,1.7,1.8,6.9,6.4,4.9,5.8,1.1,0.8,"25C","017B",7.05,5.6,0.00107197424525791,0.725,780.32925,0.00182909970374685,0.00164956010555801,NA,NA,0.0663048697812585,4.60288571524578,0.102836879432624,0.978280669796119,0.0217193302038813
"13","017C","4.53307473636584",-0.0159861580078272,"0.99127",0.03172973706735,"0.00108603493024256","32.3467963888889","0.269000443155327",0.967946914082065,"0.000324666623348754","3.21422236492256",2.46490726018062e-07,17,"PE",0.45,67,4.3263,2.0165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7,77.4,8.5,8.4,6.8,6.7,2.5,2.3,7.9,8.1,6.6,6.2,1.5,1.6,"35C","017C",8.225,6.575,0.00154262409467383,0.825,1309.03959375,0.00176449972256616,0.00154044232858025,NA,NA,0.15978664333658,4.8744491011974,0.100303951367781,0.957485496579791,0.0425145034202092
"14","017D","3.52599018327461",-0.0170203409446726,"0.99991",0.0607049906753694,"0.0024860907753669","41.1308403125","0.62476057093636",0.952907262369787,"0.00136246929804133","6.14941555541492",2.62436802793588e-07,17,"PE",0,46,3.3054,1.5369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.4,60.7,8.2,7.7,6.9,6.5,1.1,1.1,8,7.7,7.9,8.1,1.7,1.3,"45C","017D",7.9,7.35,0.00117640078506323,0.275,947.07175,0.00186733476106747,0.00162279151500401,NA,NA,0.223084518580529,3.50183494820808,0.0348101265822785,0.948939779474131,0.0510602205258694
"15","017E","5.01559196160406",-0.0650712528487554,"0.99875",0.139883448645319,"0.00100841666147468","55.2283525181481","0.0851735742306397",0.912642423454779,"0.000330089635253021","14.1701933477709",1.00333428142905e-06,17,"PE",0.2,63,4.7807,2.3643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.6,80.6,8.3,8.7,7.1,7.2,1.7,1.6,8,7.9,6.3,6.6,1.3,1.5,"55C","017E",8.225,6.8,0.00164339853301936,0.712499999999999,1363.16009375,0.00177264578905958,0.0017344257734951,NA,NA,0.610524021574768,3.98324553779151,0.0866261398176291,0.881311041218341,0.118688958781659
"16","018A","4.37847583254044",-0.00670742150333042,"0.9943",0.00622077495169709,"0.00109299224852921","5.60359721428571","0.860239003929821",0.994112154541489,"0.000860615347740548","0.630164502606915",1.03421797486023e-07,18,"PE",0,43.5,4.1292,2.3462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,68.6,9.4,8.9,7.9,6.8,0.8,0.6,7.8,8.4,5.7,5.4,0.7,0.7,"10C","018A",8.625,6.45,0.00132771559522339,1.0875,1275.79921875,0.00139755533143134,0.00183900410465744,NA,NA,0.0778945414651266,12.4479523924576,0.126086956521739,0.987100392596747,0.0128996074032528
"17","018B","2.12682639652213",-0.00482537880558539,"0.94898",0.0151786039261241,"0.00045076093335401","23.8683444444444","0.228130054713971",0.978344078121633,"0.000354662722764525","1.53759257771637",7.44025627995511e-08,18,"PE",0,19,1.901,1.0656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4,62,6.3,6,4.2,4.3,0.9,0.8,5.7,5.2,4,4.4,0.8,0.5,"25C","018B",5.8,4.225,0.000790801702761623,0.7875,521.42,0.00160216332323271,0.00204365003260328,NA,NA,0.0940849805200519,6.06429181366,0.135775862068966,0.970553028489346,0.0294469715106536
"18","018C","4.95539315339165",-0.00717806169429071,"0.99421",0.0319237493648977,"0.00139877038795907","31.7655420289855","0.643781389961319",0.969570846569089,"0.00104256821093346","3.23387581066414",1.10678603174187e-07,18,"PE",0,45.5,4.7356,2.3121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,71.9,8.9,9.2,7.4,7.4,1.5,1.4,8.6,8.9,6.9,6.6,0.9,1,"35C","018C",8.9,7.075,0.00149866535946847,0.9125,1423.79975,0.0017021354302106,0.00162389409044355,NA,NA,0.0738514455378089,2.24297615395947,0.10252808988764,0.991499896843408,0.008500103156592
"19","018D","3.34365022865322",-0.0153401260210851,"0.99162",0.0556193362492653,"0.00578316176056361","39.4284648529412","1.44885483663797",0.956920732453699,"0.00269349495055742","5.63423876205057",2.3652955252253e-07,18,"PE",0,37,3.1539,1.9066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.9,84,6.9,7.5,5.3,5.3,0.7,0.9,6.3,6.3,4.7,4.9,0.7,0.8,"45C","018D",6.75,5.05,0.00137625320172135,0.85,956.8125,0.00130359919001894,0.00199265791364557,NA,NA,0.171864851777776,2.95690403620034,0.125925925925926,0.930169165397258,0.0698308346027419
"20","018E","5.01733016683626",-0.0565879010117689,"0.99875",0.134856379919351,"0.00647532615568573","54.4855384332432","0.803893140762376",0.915540006126503,"0.00262767200855855","13.6609512858303",8.72529396831913e-07,18,"PE",0,48,4.7058,2.5055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.3,86.1,8.5,8.1,5.9,5.8,1.4,1.2,7.6,7.4,5.7,5.5,1.2,1.2,"55C","018E",7.9,5.725,0.00164547198417073,1.0875,1343.37525,0.00163788933881281,0.0018650782795053,NA,NA,0.53026086449697,3.59994117757374,0.137658227848101,0.926146434577103,0.0738535654228967
"21","019A","3.74729991926803",-0.00340781177917882,"0.99894",0.00621166724941877,"0.00114319458173747","5.698726640625","0.838549930951202",0.994048780565013,"0.000873739988711136","0.629241892366122",5.25450830131548e-08,19,"PE",0.15,57,3.5487,2.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.8,74.3,8.2,8.1,6.4,6.2,0.8,1.1,7.5,7.4,5.4,5.7,1,0.8,"10C","019A",7.8,5.925,0.00129383351845442,0.9375,1130.103,0.0012350201707278,0.00190513608051656,NA,NA,0.0406119352016199,6.49909968492486,0.120192307692308,0.986745002507702,0.0132549974922977
"22","019B","5.06238888745384",-0.00556839378367105,"0.99899",0.01503136384064,"0.000309784230882043","23.86745625","0.225872182478189",0.978272065810647,"0.000371133706533068","1.52267715705683",8.58591179831641e-08,19,"PE",0.05,68,4.8538,2.4037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.5,81.1,9.2,8.3,6.8,6.9,1.1,0.9,8.4,8.2,6.2,7,1,0.9,"25C","019B",8.525,6.725,0.00164709775836896,0.899999999999999,1473.498296875,0.00166277762600485,0.0016312879391159,NA,NA,0.0521275179611599,3.3925660520286,0.105571847507331,0.987959675115301,0.0120403248846987
"23","019C","4.5041520743242",-0.0105362131314422,"0.99713",0.0318981165852212,"0.00147382833671343","31.7864677419355","0.67068398431095",0.969500838506327,"0.00105643781592125","3.23127921008291",1.62457972889961e-07,19,"PE",0,57,4.2958,2.2337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7,83.5,8.4,9.2,6.4,6.7,0.6,0.8,7.1,7.4,6.1,5.9,0.8,0.9,"35C","019C",8.025,6.275,0.00155553604048008,0.875,1344.363046875,0.00153388625549727,0.00166153034717243,NA,NA,0.104438578510737,3.17427172128027,0.109034267912773,0.973619126133553,0.0263808738664469
"24","019D","4.30733185571746",-0.0126918318947103,"0.99364",0.0549032930071992,"0.0056814167789555","39.2586034426229","1.43487588838302",0.957207161885621,"0.00269998427271643","5.56170358162928",1.95695479595196e-07,19,"PE",0,90,4.109,2.0896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.4,71.4,8.5,8.5,6.9,6.7,0.9,1.2,8.5,8.1,6.1,6.9,1.4,1.1,"45C","019D",8.4,6.65,0.00135641404411393,0.875,1259.496,0.00160333974859785,0.00165907632894428,NA,NA,0.144274147296251,2.51533632142618,0.104166666666667,0.967713182133307,0.0322868178666931
"25","019E","3.68737330451545",-0.0610777498685672,"0.99916",0.133701075902716,"0.00656434049989032","54.3595212601639","0.830540988372946",0.915873812882841,"0.00277051227749807","13.5439189889451",9.4175842008326e-07,19,"PE",0,55,3.4277,1.7447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.8,70.1,7.1,7.4,5.7,5.4,0.5,0.7,7.4,7.5,6.2,6.4,0.6,0.3,"55C","019E",7.35,5.925,0.00117300786499736,0.712499999999999,946.7443125,0.00177767109638697,0.00184284180740721,NA,NA,0.802857720042126,5.49970414443366,0.096938775510204,0.896137849079026,0.103862150920974
"26","020A","6.40522401496018",-0.00610069142549562,"0.99593",0.00624030920496749,"0.00101664677846872","5.47220007407407","0.86587558630999",0.994203366682205,"0.000832320957541919","0.632143322463207",9.40666205067097e-08,20,"PE",0,71.5,6.2218,3.2262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.1,99.6,9.3,9.7,7.7,7.4,1.1,1.3,8.9,8.5,7.3,7,0.8,1.2,"10C","020A",9.1,7.35,0.0022327613148328,0.875,2061.969,0.0014527861476094,0.0015646210006067,NA,NA,0.0421301730201975,6.71216096507551,0.0961538461538461,0.99409133395647,0.00590866604353035
"27","020B","4.49467996425611",-0.00707323664275797,"0.9973",0.0152803912675228,"0.000573856146518496","23.8736825","0.211540957984649",0.97838590892148,"0.00041855947735511","1.54790363540006",1.09062304683672e-07,20,"PE",0.3,52.8,4.2686,2.1493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,75.7,8.7,8.7,7.3,6.9,0.9,1,7.6,7.9,6.4,6,1.4,1.4,"25C","020B",8.225,6.65,0.0015116165751829,0.7875,1280.288078125,0.00165533057458736,0.00167876280090625,NA,NA,0.0721494501146732,4.61964645359983,0.0957446808510638,0.977870051432077,0.0221299485679234
"28","020C","4.83994660087921",-0.014224317707558,"0.99341",0.0320058776801283,"0.00133562163879745","31.72615","0.608868515597345",0.969718016814746,"0.00103500296322085","3.242195408997",2.19324893268967e-07,20,"PE",0.25,63.5,4.6212,2.3177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7,65.3,10.4,9.1,8,8.6,0.8,0.9,9.5,9.1,7,8,0.7,0.6,"35C","020C",9.525,7.9,0.00151713007028995,0.8125,1481.095828125,0.00155526736100265,0.00156485485678135,NA,NA,0.144565649026422,4.38006780737269,0.0853018372703412,0.960017364879531,0.039982635120469
"29","020D","4.42019005310218",-0.0196299636874777,"0.99938",0.0563227340652697,"0.00584328786150589","39.5853567105263","1.44483968003871",0.956676903770261,"0.00264484238171424","5.70549296081182",3.02674601281025e-07,20,"PE",0,50,4.1801,2.2192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5,72.1,8.4,8.4,6.7,6.8,1.2,0.9,8,8.3,7,6.5,1.2,0.9,"45C","020D",8.275,6.75,0.00146881237527774,0.7625,1234.273140625,0.00158870831379111,0.00179798127898681,NA,NA,0.20606757294225,3.50018675267767,0.0921450151057402,0.971237696975878,0.0287623030241215
"30","020E","4.34600914984615",-0.0800372922028915,"0.99921",0.135010106534341,"0.00645783095368914","54.5034208817105","0.80068013741584",0.915487000705594,"0.00261283669467411","13.6765237919287",1.23409578799052e-06,20,"PE",0.4,56,3.9353,2.0838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.4,92,7.3,6.9,5.3,5.7,0.8,0.5,7.2,6.9,5.2,5.3,0.6,0.5,"55C","020E",7.075,5.375,0.00163144477297245,0.85,1151.279375,0.00160821086541223,0.00180998639014097,NA,NA,0.756443496240471,5.12935072309046,0.120141342756184,0.875938428301377,0.124061571698623
"31","021A","2.15707196317196",-0.00116364716364725,"0.99439",0.00619366199776234,"0.00122200059593938","5.86102685714286","0.768483882504658",0.993939552331835,"0.000881423241231849","0.627417960373326",1.79422869494866e-08,21,"LS",0,38,1.9568,0.9424,30.5,9,1.3,1.1,1.2,0.5,0.7,1.2,1,1.1,1.3,NA,30.5,41.9,9.4,7.8,7.5,8.6,1.7,2.6,7.7,7.2,6,5.9,1.6,2,"10C","021A",8.025,7,0.000768944071874272,0.5125,674.596546875,0.00150371359696267,0.00139698313661043,1.04444444444444,0.0367703385935345,0.023333669646159,3.74451450058805,0.0638629283489097,0.998718454258675,0.001281545741325
"32","021B","3.86213229458224",-0.00496904747060827,"0.99979",0.0149542180912385,"0.000255681047888568","23.88364","0.239567918615222",0.978204743292615,"0.000357163801715915","1.51486229264246",7.66177913447836e-08,21,"LS",0,82,3.6644,1.8958,22.9,11,0.9,1.1,1.5,0.4,0.8,0.9,1,1,11.4,0.8,46.9,58.4,9.3,8.9,7.3,7.9,2.1,1.7,9.4,9,7.8,7.4,1.5,2.7,"25C","021B",9.15,7.6,0.00134816736339826,0.775,1222.3485,0.00144688687391525,0.00155094884969385,1.98,0.0524971961724772,0.0568310681781059,3.71750767034621,0.0846994535519126,0.987278073052132,0.0127219269478683
"33","021C","2.78081651142252",-0.00908657124289739,"0.99458",0.031921525894895,"0.00157915151568187","31.8383740740741","0.704567891176875",0.969373012387717,"0.00107489400445052","3.23365057315287",1.40105930491866e-07,21,"LS",0,32,2.5675,1.3097,21.9,13,0.4,0.9,1,0.7,0.6,0.5,0.6,0.8,1.3,0.7,58.4,71.4,7.1,7.2,5.4,5.6,1.3,0.8,6.4,6.6,5.3,5.1,0.6,0.8,"35C","021C",6.825,5.35,0.00125217599986782,0.737500000000001,831.46415625,0.00151275312416692,0.00157517313302704,0.75,0.0869754294411829,0.111889966351899,3.39780479465884,0.108058608058608,0.968118937827953,0.0318810621720467
"34","021D","4.6828798699237",-0.0180181901981876,"0.99821",0.054021560834263,"0.00544390260697356","39.0417687037037","1.38317895101138",0.957589713229818,"0.00263677731983551","5.47238411251084",2.77822650151976e-07,21,"LS",0,56,4.4687,2.2419,21,8,1.1,1.2,0.8,0.6,1,0.9,1.3,1.2,NA,NA,42.1,55.9,12.4,10.9,8.8,10.7,0.6,1.1,9.9,10,8.6,8.4,1.1,1.3,"45C","021D",10.8,9.125,0.00142841934773421,0.8375,1630.044,0.00136609809305761,0.00137536164667948,1.0125,0.0352733686067019,0.194496560546218,3.44765872665256,0.0775462962962963,0.964253637506736,0.0357463624932639
"35","021E","2.59230074590244",-0.026603984689371,"0.99837",0.133575697838063,"0.00661641564807277","54.3434052740678","0.83859597423137",0.915926214284465,"0.00280172461635719","13.5312181909958",4.10207099031905e-07,21,"LS",0,45.5,2.3446,1.1669,30.5,4,0.8,0.6,0.7,0.7,NA,NA,NA,NA,NA,NA,30.5,48,8.2,9,6.6,6.8,1.2,1.3,8,8.3,6.9,6.8,1,1,"55C","021E",8.375,6.775,0.000802480573451343,0.8,841.6875,0.00139921289077003,0.00138638152520977,0.7,0.0156594078786396,0.511173868381223,3.50511023850436,0.0955223880597015,0.935637259064278,0.0643627409357223
"36","022A","2.46868570290086",-0.00180028689831044,"0.98544",0.0061838136287504,"0.00129405905063136","6.02279206","0.643145945056032",0.993834928481591,"0.000876128044545358","0.626420320592416",2.77586412187389e-08,22,"LS",0,69,2.2442,1.155,17.1,19,1.2,1.1,1.1,0.9,0.6,0.7,0.7,0.3,0.4,0.8,33.9,43.7,9.1,9.4,7.8,7.5,2.5,2.3,8.1,7.7,7,7.2,1.3,1.1,"10C","022A",8.575,7.375,0.000913237422453651,0.600000000000001,803.322078125,0.00135586961899797,0.0014377794802999,0.78,0.129575639779721,0.0303958647951132,4.88508773523498,0.0699708454810496,0.996235769372016,0.00376423062798359
"37","022B","5.15682295628036",-0.00533365718251256,"0.99934",0.0149259848606634,"0.000250898531434937","23.89764","0.247050067634816",0.978165821687069,"0.00035146934445853","1.51200226638521",8.22397120437108e-08,22,"LS",0,137,4.9398,2.6544,34.3,22,1.2,1.1,0.7,0.8,0.9,1.1,0.8,0.7,1.2,0.8,57.2,72.1,9.5,9.3,7.9,8.2,1.6,2.4,9.7,9.3,8,7.7,1.5,1.7,"25C","022B",9.45,7.95,0.00169815649297143,0.75,1609.6775625,0.00141978744889165,0.00164902590545987,0.93,0.0678729541703303,0.0484288181825976,3.17375470852573,0.0793650793650793,0.990548700446312,0.0094512995536884
"38","022C","2.72115218362192",-0.00208595380166197,"0.99175",0.0319881375018808,"0.00166440064237339","31.8953708333333","0.727934629096314",0.969253825868109,"0.00108273570372475","3.24039832894052",3.21633419837366e-08,22,"LS",0,69,2.4615,2.1963,21.3,15,1,0.8,0.6,0.5,0.6,0.5,0.8,0.4,0.3,0.2,48.7,61.6,10.1,8.4,6.3,8.7,0.4,0.5,9.1,8.3,8.2,6.5,1,1.3,"35C","022C",8.975,7.425,0.00137313517101266,0.775000000000001,1240.479625,0.000213788275643786,0.00177052484840289,0.57,0.0784652202911059,0.0234232890269766,0.709735366820801,0.0863509749303622,0.968702865761689,0.0312971342383115
"39","022D","3.33039619698674",-0.0166993770454522,"0.99838",0.0529132643621846,"0.00494578867132636","38.7629787234043","1.26153293614592",0.958093582329405,"0.00245118840524753","5.3601136798893",2.57487857305518e-07,22,"LS",0,64,3.1038,1.6085,18.2,15,1,0.5,0.8,0.6,0.9,0.8,0.9,1.11,0.9,0.7,42.42,72.32,7.67,7.32,6.3,6.31,1.44,2.93,6.66,6.76,5.33,5.71,1.96,1.51,"45C","022D",7.1025,5.9125,0.000946524324494394,0.595,912.054753,0.00163948490491557,0.00176360026052076,0.821,0.116040242756188,0.272035119058414,4.92570445009909,0.0837733192537839,0.956196081053969,0.043803918946031
"40","022E","3.81861644787772",-0.0634978340717805,"0.99956",0.131450384877199,"0.00658034189092655","54.0859093646154","0.855361524064868",0.916719358536256,"0.00292429472465077","13.3159239880602",9.79073721982742e-07,22,"LS",0,93,3.6133,1.9311,23.5,11,1.2,1.3,1.6,0.9,0.7,1,0.8,0.5,0.4,1.1,50.7,62,8.7,8.7,7.9,7.1,1.3,1.9,8.6,8.3,7,7.3,1.2,1.1,"55C","022E",8.575,7.325,0.0013658152601298,0.625,1139.7246875,0.00147597048519667,0.0016943565592458,0.95,0.0545871844178401,0.716841984830143,4.99917079070745,0.0728862973760932,0.879265247889669,0.120734752110331
"41","024A","2.04410035194659",-0.00247240666158727,"0.99114",0.00659569204938521,"0.00135637318416899","6.19706893103448","1.34367367506345",0.993900123609762,"0.00121541803674948","0.668143604602721",3.81220623947386e-08,24,"LS",0.15,67,1.8765,0.8417,37.5,19,1,1.6,0.6,0.9,0.9,0.9,0.5,0.6,0.8,0.7,37.5,49.7,7.3,7.3,6.1,6.1,1.5,2,6.4,6.6,5.6,4.8,0.9,1,"10C","024A",6.9,5.65,0.000812887099116359,0.625,591.55425,0.00174929011160008,0.00142286189305545,0.85,0.0734299516908213,0.0468971182297994,7.06689324737105,0.0905797101449276,0.99265558562041,0.00734441437959032
