,segment,int,slope,R2,D,D_sd,Tc,Tc_sd,mols_per_sec,TreeID,sp,lichen,apex_dist,fresh_mass,dry_mass,length_counted_lenticel,n_lenticels,lenticel_diam1,lenticel_diam2,lenticel_diam3,lenticel_diam4,lenticel_diam5,lenticel_diam6,lenticel_diam7,lenticel_diam8,lenticel_diam9,lenticel_diam10,exposed_length,total_length,basal_diam1,basal_diam2,basal_xylem_diam1,basal_xylem_diam2,basal_pith_diam1,basal_pith_diam2,distal_diam1,distal_diam2,distal_xylem_diam1,distal_xylem_diam2,distal_pith_diam1,distal_pith_diam2,treatment,sampleID,diam,wood_diam,sa,bark_thickness,vol,water_content,density,lenticel_size,LD,E,gs,bark_thickness_ratio
12,017B,2.968537079,-0.004609707,0.99702,0.014072635,0.000626189,24.35691358,0.116773475,7.11E-08,17,PE,0,45,2.7145,1.2872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4,62.8,7.4,7.5,5.8,5.9,1.7,1.8,6.9,6.4,4.9,5.8,1.1,0.8,25C,017B,7.05,5.6,0.001071974,0.725,780.32925,0.0018291,0.00164956,NA,NA,0.06630487,4.711617173,0.102836879
13,017C,4.533074736,-0.015986158,0.99127,0.031729737,0.001086035,32.34679639,0.269000443,2.46E-07,17,PE,0.45,67,4.3263,2.0165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7,77.4,8.5,8.4,6.8,6.7,2.5,2.3,7.9,8.1,6.6,6.2,1.5,1.6,35C,017C,8.225,6.575,0.001542624,0.825,1309.039594,0.0017645,0.001540442,NA,NA,0.159786643,5.035864085,0.100303951
14,017D,3.525990183,-0.017020341,0.99991,0.060704991,0.002486091,41.13084031,0.624760571,2.62E-07,17,PE,0,46,3.3054,1.5369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.4,60.7,8.2,7.7,6.9,6.5,1.1,1.1,8,7.7,7.9,8.1,1.7,1.3,45C,017D,7.9,7.35,0.001176401,0.275,947.07175,0.001867335,0.001622792,NA,NA,0.223084519,3.674895855,0.034810127
15,017E,5.015591962,-0.065071253,0.99875,0.139883449,0.001008417,55.22835252,0.085173574,1.00E-06,17,PE,0.2,63,4.7807,2.3643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.6,80.6,8.3,8.7,7.1,7.2,1.7,1.6,8,7.9,6.3,6.6,1.3,1.5,55C,017E,8.225,6.8,0.001643399,0.7125,1363.160094,0.001772646,0.001734426,NA,NA,0.610524022,4.364519373,0.08662614
16,018A,4.378475833,-0.006707422,0.9943,0.006220775,0.001092992,5.603597214,0.860239004,1.03E-07,18,PE,0,43.5,4.1292,2.3462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,68.6,9.4,8.9,7.9,6.8,0.8,0.6,7.8,8.4,5.7,5.4,0.7,0.7,10C,018A,8.625,6.45,0.001327716,1.0875,1275.799219,0.001397555,0.001839004,NA,NA,0.077894541,12.5216781,0.126086957
17,018B,2.126826397,-0.004825379,0.94898,0.015178604,0.000450761,23.86834444,0.228130055,7.44E-08,18,PE,0,19,1.901,1.0656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4,62,6.3,6,4.2,4.3,0.9,0.8,5.7,5.2,4,4.4,0.8,0.5,25C,018B,5.8,4.225,0.000790802,0.7875,521.42,0.001602163,0.00204365,NA,NA,0.094084981,6.198526622,0.135775862
18,018C,4.955393153,-0.007178062,0.99421,0.031923749,0.00139877,31.76554203,0.64378139,1.11E-07,18,PE,0,45.5,4.7356,2.3121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,71.9,8.9,9.2,7.4,7.4,1.5,1.4,8.6,8.9,6.9,6.6,0.9,1,35C,018C,8.9,7.075,0.001498665,0.9125,1423.79975,0.001702135,0.001623894,NA,NA,0.073851446,2.313370046,0.10252809
19,018D,3.343650229,-0.015340126,0.99162,0.055619336,0.005783162,39.42846485,1.448854837,2.37E-07,18,PE,0,37,3.1539,1.9066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.9,84,6.9,7.5,5.3,5.3,0.7,0.9,6.3,6.3,4.7,4.9,0.7,0.8,45C,018D,6.75,5.05,0.001376253,0.85,956.8125,0.001303599,0.001992658,NA,NA,0.171864852,3.090019827,0.125925926
20,018E,5.017330167,-0.056587901,0.99875,0.13485638,0.006475326,54.48553843,0.803893141,8.73E-07,18,PE,0,48,4.7058,2.5055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.3,86.1,8.5,8.1,5.9,5.8,1.4,1.2,7.6,7.4,5.7,5.5,1.2,1.2,55C,018E,7.9,5.725,0.001645472,1.0875,1343.37525,0.001637889,0.001865078,NA,NA,0.530260864,3.932041367,0.137658228
21,019A,3.747299919,-0.003407812,0.99894,0.006211667,0.001143195,5.698726641,0.838549931,5.25E-08,19,PE,0.15,57,3.5487,2.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.8,74.3,8.2,8.1,6.4,6.2,0.8,1.1,7.5,7.4,5.4,5.7,1,0.8,10C,019A,7.8,5.925,0.001293834,0.9375,1130.103,0.00123502,0.001905136,NA,NA,0.040611935,6.53800881,0.120192308
22,019B,5.062388887,-0.005568394,0.99899,0.015031364,0.000309784,23.86745625,0.225872182,8.59E-08,19,PE,0.05,68,4.8538,2.4037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.5,81.1,9.2,8.3,6.8,6.9,1.1,0.9,8.4,8.2,6.2,7,1,0.9,25C,019B,8.525,6.725,0.001647098,0.9,1473.498297,0.001662778,0.001631288,NA,NA,0.052127518,3.467916718,0.105571848
23,019C,4.504152074,-0.010536213,0.99713,0.031898117,0.001473828,31.78646774,0.670683984,1.62E-07,19,PE,0,57,4.2958,2.2337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7,83.5,8.4,9.2,6.4,6.7,0.6,0.8,7.1,7.4,6.1,5.9,0.8,0.9,35C,019C,8.025,6.275,0.001555536,0.875,1344.363047,0.001533886,0.00166153,NA,NA,0.104438579,3.274129939,0.109034268
24,019D,4.307331856,-0.012691832,0.99364,0.054903293,0.005681417,39.25860344,1.434875888,1.96E-07,19,PE,0,90,4.109,2.0896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.4,71.4,8.5,8.5,6.9,6.7,0.9,1.2,8.5,8.1,6.1,6.9,1.4,1.1,45C,019D,8.4,6.65,0.001356414,0.875,1259.496,0.00160334,0.001659076,NA,NA,0.144274147,2.627786776,0.104166667
25,019E,3.687373305,-0.06107775,0.99916,0.133701076,0.00656434,54.35952126,0.830540988,9.42E-07,19,PE,0,55,3.4277,1.7447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.8,70.1,7.1,7.4,5.7,5.4,0.5,0.7,7.4,7.5,6.2,6.4,0.6,0.3,55C,019E,7.35,5.925,0.001173008,0.7125,946.7443125,0.001777671,0.001842842,NA,NA,0.80285772,6.00487105,0.096938776
26,020A,6.405224015,-0.006100691,0.99593,0.006240309,0.001016647,5.472200074,0.865875586,9.41E-08,20,PE,0,71.5,6.2218,3.2262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.1,99.6,9.3,9.7,7.7,7.4,1.1,1.3,8.9,8.5,7.3,7,0.8,1.2,10C,020A,9.1,7.35,0.002232761,0.875,2061.969,0.001452786,0.001564621,NA,NA,0.042130173,6.751295751,0.096153846
27,020B,4.494679964,-0.007073237,0.9973,0.015280391,0.000573856,23.8736825,0.211540958,1.09E-07,20,PE,0.3,52.8,4.2686,2.1493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,75.7,8.7,8.7,7.3,6.9,0.9,1,7.6,7.9,6.4,6,1.4,1.4,25C,020B,8.225,6.65,0.001511617,0.7875,1280.288078,0.001655331,0.001678763,NA,NA,0.07214945,4.721701745,0.095744681
28,020C,4.839946601,-0.014224318,0.99341,0.032005878,0.001335622,31.72615,0.608868516,2.19E-07,20,PE,0.25,63.5,4.6212,2.3177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7,65.3,10.4,9.1,8,8.6,0.8,0.9,9.5,9.1,7,8,0.7,0.6,35C,020C,9.525,7.9,0.00151713,0.8125,1481.095828,0.001555267,0.001564855,NA,NA,0.144565649,4.516846889,0.085301837
29,020D,4.420190053,-0.019629964,0.99938,0.056322734,0.005843288,39.58535671,1.44483968,3.03E-07,20,PE,0,50,4.1801,2.2192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5,72.1,8.4,8.4,6.7,6.8,1.2,0.9,8,8.3,7,6.5,1.2,0.9,45C,020D,8.275,6.75,0.001468812,0.7625,1234.273141,0.001588708,0.001797981,NA,NA,0.206067573,3.658692646,0.092145015
30,020E,4.34600915,-0.080037292,0.99921,0.135010107,0.006457831,54.50342088,0.800680137,1.23E-06,20,PE,0.4,56,3.9353,2.0838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.4,92,7.3,6.9,5.3,5.7,0.8,0.5,7.2,6.9,5.2,5.3,0.6,0.5,55C,020E,7.075,5.375,0.001631445,0.85,1151.279375,0.001608211,0.001809986,NA,NA,0.756443496,5.602865709,0.120141343
31,021A,2.157071963,-0.001163647,0.99439,0.006193662,0.001222001,5.861026857,0.768483883,1.79E-08,21,LS,0,38,1.9568,0.9424,30.5,9,1.3,1.1,1.2,0.5,0.7,1.2,1,1.1,1.3,NA,30.5,41.9,9.4,7.8,7.5,8.6,1.7,2.6,7.7,7.2,6,5.9,1.6,2,10C,021A,8.025,7,0.000768944,0.5125,674.5965469,0.001503714,0.001396983,1.044444444,0.036770339,0.02333367,3.767346306,0.063862928
32,021B,3.862132295,-0.004969047,0.99979,0.014954218,0.000255681,23.88364,0.239567919,7.66E-08,21,LS,0,82,3.6644,1.8958,22.9,11,0.9,1.1,1.5,0.4,0.8,0.9,1,1,11.4,0.8,46.9,58.4,9.3,8.9,7.3,7.9,2.1,1.7,9.4,9,7.8,7.4,1.5,2.7,25C,021B,9.15,7.6,0.001348167,0.775,1222.3485,0.001446887,0.001550949,1.98,0.052497196,0.056831068,3.800336991,0.084699454
33,021C,2.780816511,-0.009086571,0.99458,0.031921526,0.001579152,31.83837407,0.704567891,1.40E-07,21,LS,0,32,2.5675,1.3097,21.9,13,0.4,0.9,1,0.7,0.6,0.5,0.6,0.8,1.3,0.7,58.4,71.4,7.1,7.2,5.4,5.6,1.3,0.8,6.4,6.6,5.3,5.1,0.6,0.8,35C,021C,6.825,5.35,0.001252176,0.7375,831.4641563,0.001512753,0.001575173,0.75,0.086975429,0.111889966,3.505157201,0.108058608
34,021D,4.68287987,-0.01801819,0.99821,0.054021561,0.005443903,39.0417687,1.383178951,2.78E-07,21,LS,0,56,4.4687,2.2419,21,8,1.1,1.2,0.8,0.6,1,0.9,1.3,1.2,NA,NA,42.1,55.9,12.4,10.9,8.8,10.7,0.6,1.1,9.9,10,8.6,8.4,1.1,1.3,45C,021D,10.8,9.125,0.001428419,0.8375,1630.044,0.001366098,0.001375362,1.0125,0.035273369,0.194496561,3.600350629,0.077546296
35,021E,2.592300746,-0.026603985,0.99837,0.133575698,0.006616416,54.34340527,0.838595974,4.10E-07,21,LS,0,45.5,2.3446,1.1669,30.5,4,0.8,0.6,0.7,0.7,NA,NA,NA,NA,NA,NA,30.5,48,8.2,9,6.6,6.8,1.2,1.3,8,8.3,6.9,6.8,1,1,55C,021E,8.375,6.775,0.000802481,0.8,841.6875,0.001399213,0.001386382,0.7,0.015659408,0.511173868,3.826847822,0.095522388
36,022A,2.468685703,-0.001800287,0.98544,0.006183814,0.001294059,6.02279206,0.643145945,2.78E-08,22,LS,0,69,2.2442,1.155,17.1,19,1.2,1.1,1.1,0.9,0.6,0.7,0.7,0.3,0.4,0.8,33.9,43.7,9.1,9.4,7.8,7.5,2.5,2.3,8.1,7.7,7,7.2,1.3,1.1,10C,022A,8.575,7.375,0.000913237,0.6,803.3220781,0.00135587,0.001437779,0.78,0.12957564,0.030395865,4.915391475,0.069970845
37,022B,5.156822956,-0.005333657,0.99934,0.014925985,0.000250899,23.89764,0.247050068,8.22E-08,22,LS,0,137,4.9398,2.6544,34.3,22,1.2,1.1,0.7,0.8,0.9,1.1,0.8,0.7,1.2,0.8,57.2,72.1,9.5,9.3,7.9,8.2,1.6,2.4,9.7,9.3,8,7.7,1.5,1.7,25C,022B,9.45,7.95,0.001698156,0.75,1609.677563,0.001419787,0.001649026,0.93,0.067872954,0.048428818,3.244597836,0.079365079
38,022C,2.721152184,-0.002085954,0.99175,0.031988138,0.001664401,31.89537083,0.727934629,3.22E-08,22,LS,0,69,2.4615,2.1963,21.3,15,1,0.8,0.6,0.5,0.6,0.5,0.8,0.4,0.3,0.2,48.7,61.6,10.1,8.4,6.3,8.7,0.4,0.5,9.1,8.3,8.2,6.5,1,1.3,35C,022C,8.975,7.425,0.001373135,0.775,1240.479625,0.000213788,0.001770525,0.57,0.07846522,0.023423289,0.732249229,0.086350975
39,022D,3.330396197,-0.016699377,0.99838,0.052913264,0.004945789,38.76297872,1.261532936,2.57E-07,22,LS,0,64,3.1038,1.6085,18.2,15,1,0.5,0.8,0.6,0.9,0.8,0.9,1.11,0.9,0.7,42.42,72.32,7.67,7.32,6.3,6.31,1.44,2.93,6.66,6.76,5.33,5.71,1.96,1.51,45C,022D,7.1025,5.9125,0.000946524,0.595,912.054753,0.001639485,0.0017636,0.821,0.116040243,0.272035119,5.141151701,0.083773319
40,022E,3.818616448,-0.063497834,0.99956,0.131450385,0.006580342,54.08590936,0.855361524,9.79E-07,22,LS,0,93,3.6133,1.9311,23.5,11,1.2,1.3,1.6,0.9,0.7,1,0.8,0.5,0.4,1.1,50.7,62,8.7,8.7,7.9,7.1,1.3,1.9,8.6,8.3,7,7.3,1.2,1.1,55C,022E,8.575,7.325,0.001365815,0.625,1139.724688,0.00147597,0.001694357,0.95,0.054587184,0.716841985,5.453327394,0.072886297
41,024A,2.044100352,-0.002472407,0.99114,0.006595692,0.001356373,6.197068931,1.343673675,3.81E-08,24,LS,0.15,67,1.8765,0.8417,37.5,19,1,1.6,0.6,0.9,0.9,0.9,0.5,0.6,0.8,0.7,37.5,49.7,7.3,7.3,6.1,6.1,1.5,2,6.4,6.6,5.6,4.8,0.9,1,10C,024A,6.9,5.65,0.000812887,0.625,591.55425,0.00174929,0.001422862,0.85,0.073429952,0.046897118,7.110264985,0.09057971
42,024B,2.417632091,-0.003556187,0.99973,0.014121197,0.000585561,24.36682436,0.107117673,5.48E-08,24,LS,0.4,63.5,2.2008,1.0302,43.8,13,0.6,1,0.8,0.7,0.4,0.8,0.4,0.9,0.8,1,43.8,60,6.7,7,5.8,5.9,1.8,1.5,6.7,6.7,5.6,5.8,1.2,1.8,25C,024B,6.775,5.775,0.000932252,0.5,688.509375,0.001700195,0.001496276,0.74,0.043808657,0.058817666,4.165204101,0.073800738
43,024C,2.562715937,-0.009090221,0.99994,0.031784586,0.001116943,32.34737304,0.276604362,1.40E-07,24,LS,0.1,57.5,2.5627,1.1597,15.5,8,0.7,1.1,0.6,0.5,0.7,0.5,0.4,0.9,NA,NA,39.6,71.2,6.7,6.5,4.5,4.7,1.2,1.3,6.4,5.9,4.5,5,1,0.9,35C,024C,6.375,4.675,0.000793095,0.85,723.403125,0.001939444,0.001603117,0.675,0.080961417,0.176728134,5.560183512,0.133333333
44,024D,1.909523748,-0.017405722,0.99984,0.06047543,0.002389583,41.05998483,0.577293088,2.68E-07,24,LS,0.6,64.5,1.7414,0.8308,41.8,7,0.8,1,1.4,0.9,1.8,1.3,1,NA,NA,NA,41.8,52.6,6.2,5.9,5.2,4.9,1,1.7,6.1,6.3,4.6,4.8,0.9,1.1,45C,024D,6.125,4.875,0.000804326,0.625,493.3304688,0.001845822,0.001684064,1.171428571,0.02734108,0.333669321,5.517436115,0.102040816
45,024E,2.392276519,-0.028263257,0.99853,0.139911763,0.001017008,55.22921433,0.086707806,4.36E-07,24,LS,0.8,58,2.1992,1.0267,53.7,15,1.2,0.8,0.6,0.7,1,0.6,1,1.1,0.7,0.8,53.7,66.3,6.3,6,4.4,4.8,1.5,1.9,6.4,6,4.5,5,1.6,1.7,55C,024E,6.175,4.675,0.001041744,0.75,632.0151094,0.001855177,0.001624486,0.85,0.045235564,0.418328618,2.989946002,0.12145749
46,026A,3.974413191,-0.010283004,0.99933,0.006542152,0.001390982,6.200243198,1.393094717,1.59E-07,26,LS,0.1,62,3.7601,2.8168,32.4,13,1.3,1.1,0.9,0.9,1.5,1,1.1,0.4,0.7,1.5,60.3,73.4,9.3,9.1,7.8,7.5,0.6,0.5,8.5,9,7.3,6.4,0.9,0.7,10C,026A,8.975,7.25,0.001700206,0.8625,1478.103969,0.000638182,0.001905685,1.04,0.044705801,0.093255586,14.25457273,0.096100279
47,026B,1.334082792,-0.000881933,0.99715,0.014171749,0.000537993,24.376256,0.097938972,1.36E-08,26,LS,0.03,35,1.1579,0.9733,21,15,0.6,1.5,0.4,0.9,0.9,0.9,1.3,0.9,0.8,1.1,37.1,50.8,7.3,7.9,5.5,5.5,1,0.9,6.1,6.2,4.6,5,0.7,0.4,25C,026B,6.875,5.15,0.000801302,0.8625,600.2734375,0.000307527,0.001621428,0.93,0.103896104,0.016970529,1.197490077,0.125454545
48,026C,2.4285719,-0.00325192,0.9882,0.03181003,0.00113579,32.34328591,0.282223989,5.01E-08,26,LS,0.3,55,2.2195,1.8488,46.9,10,1.2,0.8,0.6,0.5,0.9,0.6,1,1.1,0.7,1.3,46.9,61.9,8.1,8,6.7,7.1,0.6,0.9,7.8,8.2,6.1,7,0.6,0.9,35C,026C,8.025,6.725,0.001182409,0.65,996.5996719,0.000371965,0.001855108,0.87,0.026569423,0.042406124,1.333105436,0.080996885
49,026D,2.944614054,-0.048368895,0.98938,0.060293191,0.002304611,41.00532614,0.537320038,7.46E-07,26,LS,0.9,66,2.8151,2.2537,52.9,5,0.9,0.8,0.6,0.9,0.6,NA,NA,NA,NA,NA,52.9,65.6,8.6,9,7.2,6.7,0.9,0.6,8.7,8.6,6.6,7.4,1.7,0.8,45C,026D,8.725,6.975,0.00145001,0.875,1248.46025,0.000449674,0.001805184,0.76,0.010833004,0.514341618,8.530675061,0.100286533
50,026E,3.212004417,-0.030334434,0.99396,0.13994262,0.001039302,55.23081229,0.089113271,4.68E-07,26,LS,0.2,56,2.895,2.3507,25.2,10,1.1,0.6,1,1,0.5,0.9,0.9,0.5,0.9,0.8,40.7,79.8,8.2,8.6,6.9,6.7,0.8,0.5,7.9,7.7,6.5,6.7,0.8,0.5,55C,026E,8.1,6.7,0.001035689,0.7,1308.9195,0.000415839,0.001795909,0.82,0.04899079,0.451609509,3.227104865,0.086419753
